frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,is_spatial_valid,speed_valid,confidence,source
0,0.000000,0,,,,,,1,0,0,0,0.000,rejected_static_motion
1,0.033333,1,707.000,479.000,,,,0,0,0,0,0.696,refined
2,0.066667,1,710.000,478.000,,,,0,0,0,0,0.657,refined
3,0.100000,1,712.000,475.000,,,,0,0,0,0,0.666,refined
4,0.133333,1,713.000,472.000,,,,0,0,0,0,0.663,refined
5,0.166667,1,714.000,472.000,,,,0,0,0,0,0.594,refined
6,0.200000,1,715.000,468.000,,,,0,0,0,0,0.615,refined
7,0.233333,1,715.000,467.000,,,,0,0,0,0,0.553,refined
8,0.266667,1,716.000,467.000,,,,0,0,0,0,0.515,refined
9,0.300000,1,717.000,465.000,,,,0,0,0,0,0.508,refined
10,0.333333,1,717.000,466.000,,,,0,0,0,0,0.424,refined
11,0.366667,1,718.000,467.000,,,,0,0,0,0,0.479,refined
12,0.400000,1,717.000,470.000,,,,0,0,0,0,0.515,refined
13,0.433333,1,717.000,471.000,,,,0,0,0,0,0.591,refined
14,0.466667,1,718.000,475.000,,,,0,0,0,0,0.626,refined
15,0.500000,1,719.000,483.000,2.750234,0.453628,,0,0,1,0,0.584,refined
16,0.533333,1,718.000,489.000,2.946915,1.757710,,0,0,1,0,0.575,refined
17,0.566667,1,717.000,495.000,3.116242,2.880420,34.062236,0,0,1,1,0.618,refined
18,0.600000,1,712.000,476.000,,,,0,1,0,0,0.250,interp
19,0.633333,1,707.000,457.000,,,,0,0,0,0,0.485,refined
20,0.666667,1,702.000,423.000,,,,0,0,0,0,0.481,refined
21,0.700000,1,696.000,393.000,,,,0,0,0,0,0.481,refined
22,0.733333,1,690.000,369.000,,,,0,0,0,0,0.476,refined
23,0.766667,1,687.000,352.000,,,,0,0,0,0,0.495,refined
24,0.800000,1,684.000,338.000,,,,0,0,0,0,0.495,refined
25,0.833333,1,682.000,328.000,,,,0,0,0,0,0.541,refined
26,0.866667,1,679.000,322.000,,,,0,0,0,0,0.624,refined
27,0.900000,1,677.000,316.000,,,,0,0,0,0,0.628,refined
28,0.933333,1,677.000,311.000,,,,0,0,0,0,0.587,refined
