frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
0,0.000000,near,1,650.000,591.000,4.114525,10.713658,631.590,402.801,703.133,610.340,0.890625,detected
0,0.000000,far,,,,,,,,,,0.000000,missing
1,0.033333,near,1,650.000,591.000,4.114525,10.713658,631.590,402.801,703.133,610.340,0.890625,tracked
1,0.033333,far,,,,,,,,,,0.000000,missing
2,0.066667,near,1,649.000,591.000,4.103607,10.716247,635.083,402.801,706.910,610.620,0.901367,detected
2,0.066667,far,,,,,,,,,,0.000000,missing
3,0.100000,near,1,649.000,591.000,4.103607,10.716247,635.083,402.801,706.910,610.620,0.901367,tracked
3,0.100000,far,,,,,,,,,,0.000000,missing
4,0.133333,near,1,650.000,592.000,4.127037,10.752688,637.056,403.052,709.196,610.667,0.900391,detected
4,0.133333,far,,,,,,,,,,0.000000,missing
5,0.166667,near,1,650.000,592.000,4.127037,10.752688,637.056,403.052,709.196,610.667,0.900391,tracked
5,0.166667,far,,,,,,,,,,0.000000,missing
6,0.200000,near,1,650.000,592.000,4.127037,10.752688,637.492,403.131,709.963,610.431,0.881348,detected
6,0.200000,far,,,,,,,,,,0.000000,missing
7,0.233333,near,1,650.000,592.000,4.127037,10.752688,637.492,403.131,709.963,610.431,0.881348,tracked
7,0.233333,far,,,,,,,,,,0.000000,missing
8,0.266667,near,1,650.000,592.000,4.127037,10.752688,637.841,403.150,710.790,610.352,0.883301,detected
8,0.266667,far,,,,,,,,,,0.000000,missing
9,0.300000,near,1,650.000,591.000,4.114525,10.713658,637.841,402.150,710.790,609.352,0.883301,tracked
9,0.300000,far,,,,,,,,,,0.000000,missing
10,0.333333,near,1,650.000,591.000,4.114525,10.713658,637.669,403.152,711.243,610.328,0.880859,detected
10,0.333333,far,,,,,,,,,,0.000000,missing
11,0.366667,near,1,650.000,590.000,4.101874,10.674196,637.669,402.152,711.243,609.328,0.880859,tracked
11,0.366667,far,,,,,,,,,,0.000000,missing
12,0.400000,near,1,653.000,596.000,4.207652,10.897124,636.214,402.471,710.899,611.000,0.880859,detected
12,0.400000,far,,,,,,,,,,0.000000,missing
13,0.433333,near,1,653.000,595.000,4.195839,10.859701,636.214,401.471,710.899,610.000,0.880859,tracked
13,0.433333,far,,,,,,,,,,0.000000,missing
14,0.466667,near,1,652.000,593.000,4.161021,10.786186,632.449,403.114,706.868,610.797,0.900391,detected
14,0.466667,far,,,,,,,,,,0.000000,missing
15,0.500000,near,1,652.000,592.000,4.148761,10.747545,632.449,402.114,706.868,609.797,0.900391,tracked
15,0.500000,far,,,,,,,,,,0.000000,missing
16,0.533333,near,1,654.000,592.000,4.170494,10.742400,631.002,402.802,705.430,610.719,0.895020,detected
16,0.533333,far,,,,,,,,,,0.000000,missing
17,0.566667,near,1,654.000,591.000,4.158216,10.703298,631.002,401.802,705.430,609.719,0.895020,tracked
17,0.566667,far,,,,,,,,,,0.000000,missing
18,0.600000,near,1,656.000,591.000,4.180073,10.698114,628.467,401.924,702.578,610.688,0.885742,detected
18,0.600000,far,,,,,,,,,,0.000000,missing
19,0.633333,near,1,657.000,590.000,4.178770,10.655933,629.467,400.924,703.578,609.688,0.885742,tracked
19,0.633333,far,,,,,,,,,,0.000000,missing
20,0.666667,near,1,658.000,588.000,4.165001,10.572779,627.296,400.628,700.935,610.243,0.876953,detected
20,0.666667,far,,,,,,,,,,0.000000,missing
21,0.700000,near,1,659.000,587.000,4.163589,10.529160,628.296,399.628,701.935,609.243,0.876953,tracked
