frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,source,confidence
0,0.000000,1,563.000,487.000,2.389558,7.731583,0.000000,0,0,reference,
1,0.033367,1,564.000,486.000,2.397927,7.689443,1.287606,0,0,reference,
2,0.066733,1,563.000,488.000,2.392068,7.773397,2.522199,0,0,reference,
3,0.100100,1,562.000,486.000,2.376146,7.689764,2.551489,0,0,reference,
4,0.133467,1,562.000,487.000,2.378689,7.731744,1.260456,0,0,reference,
5,0.166834,1,561.000,484.000,2.360096,7.605458,3.825582,0,0,reference,
6,0.200200,1,563.000,483.000,2.379414,7.562654,1.407431,0,0,reference,
7,0.233567,1,562.000,483.000,2.368458,7.562813,0.328391,0,0,reference,
8,0.266934,1,563.000,482.000,2.376853,7.519998,1.307598,0,0,reference,
9,0.300300,1,563.000,479.000,2.369107,7.390995,3.873197,0,0,reference,
10,0.333667,1,564.000,478.000,2.377571,7.347490,1.328293,0,0,reference,
11,0.367034,1,565.000,475.000,2.380901,7.216230,3.935126,0,0,reference,
12,0.400400,0,,,,,0.000000,1,0,missing,
13,0.433767,0,,,,,0.000000,1,0,missing,
14,0.467134,0,,,,,0.000000,1,0,missing,
15,0.500501,0,,,,,0.000000,1,0,missing,
16,0.533867,0,,,,,0.000000,1,0,missing,
17,0.567234,0,,,,,0.000000,1,0,missing,
18,0.600601,0,,,,,0.000000,1,0,missing,
19,0.633967,0,,,,,0.000000,1,0,missing,
20,0.667334,0,,,,,0.000000,1,0,missing,
21,0.700701,0,,,,,0.000000,1,0,missing,
22,0.734067,0,,,,,0.000000,1,0,missing,
23,0.767434,0,,,,,0.000000,1,0,missing,
24,0.800801,1,631.000,391.000,3.003445,2.755745,10.382804,0,0,reference,
25,0.834168,1,649.000,370.000,3.222150,1.340320,42.923706,0,0,reference,
26,0.867534,1,659.000,361.000,3.356257,0.685935,20.019494,0,0,reference,
27,0.900901,1,672.000,352.000,3.541169,0.000000,21.291354,0,0,reference,
28,0.934268,1,683.000,339.000,3.705472,0.000000,4.924184,0,0,reference,
29,0.967634,1,693.000,334.000,3.861413,0.000000,4.673550,0,0,reference,
30,1.001001,1,699.000,327.000,3.960596,0.000000,2.972506,0,0,reference,
31,1.034368,1,711.000,325.000,4.153343,0.000000,5.776626,0,0,reference,
32,1.067734,1,717.000,320.000,4.257573,0.000000,3.123765,0,0,reference,
33,1.101101,1,726.000,315.000,4.414012,0.000000,4.688486,0,0,reference,
34,1.134468,1,729.000,315.000,4.463117,0.000000,1.471690,0,0,reference,
35,1.167835,0,,,,,0.000000,1,0,missing,
36,1.201201,1,743.000,318.000,4.682883,0.000000,3.293190,0,0,reference,
37,1.234568,1,750.000,319.000,4.792916,0.000000,3.297681,0,0,reference,
38,1.267935,1,755.000,321.000,4.866467,0.000000,2.204331,0,0,reference,
39,1.301301,1,761.000,325.000,4.947501,0.000000,2.428587,0,0,reference,
