frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,source,confidence
0,0.000000,1,606.000,349.000,2.555005,0.000000,0.000000,0,0,reference,
1,0.033367,1,606.000,348.000,2.551987,0.000000,0.090455,0,0,reference,
2,0.066733,1,608.000,348.000,2.581979,0.000000,0.898877,0,0,reference,
3,0.100100,1,607.000,346.000,2.560980,0.000000,0.629346,0,0,reference,
4,0.133467,1,608.000,346.000,2.576059,0.000000,0.451911,0,0,reference,
5,0.166834,1,608.000,347.000,2.579027,0.000000,0.088962,0,0,reference,
6,0.200200,1,609.000,346.000,2.591137,0.000000,0.362923,0,0,reference,
7,0.233567,1,609.000,347.000,2.594064,0.000000,0.087716,0,0,reference,
8,0.266934,1,610.000,346.000,2.606214,0.000000,0.364144,0,0,reference,
9,0.300300,1,610.000,345.000,2.603313,0.000000,0.086948,0,0,reference,
10,0.333667,1,610.000,345.000,2.603313,0.000000,0.000000,0,0,reference,
11,0.367034,1,610.000,347.000,2.609099,0.000000,0.173418,0,0,reference,
12,0.400400,1,612.000,348.000,2.641954,0.000000,0.984665,0,0,reference,
13,0.433767,1,611.000,347.000,2.624134,0.000000,0.534078,0,0,reference,
14,0.467134,1,613.000,346.000,2.651440,0.000000,0.818364,0,0,reference,
15,0.500501,1,612.000,349.000,2.644726,0.000000,0.201226,0,0,reference,
16,0.533867,1,611.000,348.000,2.626962,0.000000,0.532382,0,0,reference,
17,0.567234,1,613.000,348.000,2.656946,0.000000,0.898619,0,0,reference,
18,0.600601,1,613.000,348.000,2.656946,0.000000,0.000000,0,0,reference,
19,0.633967,1,613.000,348.000,2.656946,0.000000,0.000000,0,0,reference,
20,0.667334,1,613.000,348.000,2.656946,0.000000,0.000000,0,0,reference,
21,0.700701,1,614.000,348.000,2.671936,0.000000,0.449271,0,0,reference,
22,0.734067,1,614.000,348.000,2.671936,0.000000,0.000000,0,0,reference,
23,0.767434,1,613.000,347.000,2.654200,0.000000,0.531549,0,0,reference,
24,0.800801,1,615.000,347.000,2.684264,0.000000,0.900993,0,0,reference,
25,0.834168,1,615.000,347.000,2.684264,0.000000,0.000000,0,0,reference,
26,0.867534,1,615.000,347.000,2.684264,0.000000,0.000000,0,0,reference,
27,0.900901,1,615.000,347.000,2.684264,0.000000,0.000000,0,0,reference,
28,0.934268,1,615.000,347.000,2.684264,0.000000,0.000000,0,0,reference,
29,0.967634,1,614.000,346.000,2.666514,0.000000,0.531970,0,0,reference,
30,1.001001,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
31,1.034368,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
32,1.067734,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
33,1.101101,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
34,1.134468,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
35,1.167835,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
36,1.201201,1,614.000,346.000,2.666514,0.000000,0.000000,0,0,reference,
37,1.234568,1,614.000,349.000,2.674626,0.000000,0.243122,0,0,reference,
38,1.267935,1,614.000,349.000,2.674626,0.000000,0.000000,0,0,reference,
39,1.301301,1,614.000,349.000,2.674626,0.000000,0.000000,0,0,reference,
40,1.334668,1,614.000,349.000,2.674626,0.000000,0.000000,0,0,reference,
41,1.368035,1,614.000,349.000,2.674626,0.000000,0.000000,0,0,reference,
42,1.401401,1,614.000,349.000,2.674626,0.000000,0.000000,0,0,reference,
43,1.434768,1,614.000,349.000,2.674626,0.000000,0.000000,0,0,reference,
