frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.453559,0.030268,0.030268,0.907119
1,0.033367,far,0.844425,0.056351,0.056351,1.688851
2,0.066733,near,0.604746,0.060535,0.060535,0.907119
2,0.066733,far,0.688723,0.068941,0.068941,1.688851
3,0.100100,near,0.453559,0.060535,0.060535,0.907119
3,0.100100,far,0.938768,0.125294,0.125294,1.688901
4,0.133467,near,0.550513,0.091844,0.091844,0.938327
4,0.133467,far,0.751014,0.125294,0.125294,1.688901
5,0.166834,near,0.458761,0.091844,0.091844,0.938327
5,0.166834,far,0.625845,0.125294,0.125294,1.688901
6,0.200200,near,0.458761,0.091844,0.091844,0.938327
6,0.200200,far,0.625845,0.125294,0.125294,1.688901
7,0.233567,near,0.307574,0.091844,0.091844,0.938327
7,0.233567,far,0.624562,0.181389,0.181389,1.688901
8,0.266934,near,0.156388,0.091844,0.091844,0.938327
8,0.266934,far,0.840584,0.237226,0.237226,1.688901
9,0.300300,near,0.156388,0.091844,0.091844,0.938327
9,0.300300,far,0.559100,0.237226,0.237226,1.688901
10,0.333667,near,0.304682,0.152841,0.152841,1.828091
10,0.333667,far,1.118200,0.349158,0.349158,3.354601
11,0.367034,near,0.350715,0.162057,0.162057,1.828091
11,0.367034,far,1.677300,0.461090,0.461090,3.354601
12,0.400400,near,0.396749,0.171273,0.171273,1.828091
12,0.400400,far,2.236401,0.573022,0.573022,3.354601
13,0.433767,near,0.442782,0.180489,0.180489,1.828091
13,0.433767,far,1.956208,0.573022,0.573022,3.354601
14,0.467134,near,0.594994,0.210962,0.210962,1.828091
14,0.467134,far,1.677300,0.573022,0.573022,3.354601
15,0.500501,near,0.594994,0.210962,0.210962,1.828091
15,0.500501,far,1.957493,0.629117,0.629117,3.354601
16,0.533867,near,0.443044,0.241539,0.241539,1.828091
16,0.533867,far,1.398392,0.629117,0.629117,3.354601
17,0.567234,near,0.701953,0.302589,0.302589,1.829659
17,0.567234,far,0.839292,0.629117,0.629117,3.354601
18,0.600601,near,1.114109,0.394318,0.394318,2.749134
18,0.600601,far,0.280192,0.629117,0.629117,3.354601
19,0.633967,near,1.114342,0.403581,0.403581,2.749134
19,0.633967,far,0.280192,0.629117,0.629117,3.354601
20,0.667334,near,1.115377,0.434261,0.434261,2.749134
