frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
0,0.000000,near,1,503.000,572.000,2.014241,10.789387,461.621,404.104,554.434,593.273,0.912109,detected
0,0.000000,far,2,659.000,415.000,3.393561,3.326608,625.332,284.328,678.828,433.645,0.859863,detected
1,0.033367,near,1,502.000,572.000,2.004926,10.789578,461.372,404.570,554.310,594.019,0.912598,detected
1,0.033367,far,2,659.000,417.000,3.394764,3.479686,625.362,284.887,678.984,434.577,0.862305,detected
2,0.066733,near,1,502.000,572.000,2.004926,10.789578,461.014,404.649,553.934,594.147,0.910156,detected
2,0.066733,far,2,658.000,416.000,3.381562,3.403462,625.198,284.314,679.013,434.569,0.859863,detected
3,0.100100,near,1,502.000,572.000,2.004926,10.789578,461.303,405.240,554.078,594.501,0.912598,detected
3,0.100100,far,2,658.000,415.000,3.380930,3.326746,625.349,284.778,678.980,434.550,0.860840,detected
4,0.133467,near,1,502.000,572.000,2.004926,10.789578,461.992,405.106,554.498,593.654,0.918945,detected
4,0.133467,far,2,659.000,419.000,3.395957,3.631358,625.456,283.826,679.547,435.012,0.875000,detected
5,0.166834,near,1,502.000,572.000,2.004926,10.789578,462.210,405.125,554.655,593.360,0.917969,detected
5,0.166834,far,2,659.000,419.000,3.395957,3.631358,625.484,283.354,679.742,435.162,0.875977,detected
6,0.200200,near,1,502.000,572.000,2.004926,10.789578,462.382,405.124,554.902,593.262,0.918945,detected
6,0.200200,far,2,659.000,416.000,3.394164,3.403324,625.311,283.200,679.384,434.606,0.873047,detected
7,0.233567,near,1,502.000,572.000,2.004926,10.789578,462.326,404.970,555.094,593.382,0.917480,detected
7,0.233567,far,2,659.000,419.000,3.395957,3.631358,625.202,283.379,679.293,434.990,0.875977,detected
8,0.266934,near,1,502.000,572.000,2.004926,10.789578,462.179,404.983,555.277,593.869,0.917969,detected
8,0.266934,far,2,659.000,416.000,3.394164,3.403324,624.876,283.090,678.958,434.836,0.873047,detected
9,0.300300,near,1,502.000,571.000,2.002112,10.758857,462.040,404.477,555.417,593.761,0.916992,detected
9,0.300300,far,2,659.000,419.000,3.395957,3.631358,624.745,283.281,678.846,435.065,0.871094,detected
10,0.333667,near,1,502.000,571.000,2.002112,10.758857,461.945,404.649,555.504,594.297,0.916992,detected
10,0.333667,far,2,659.000,416.000,3.394164,3.403324,624.580,283.433,678.492,434.859,0.869629,detected
11,0.367034,near,1,502.000,570.000,1.999289,10.728029,462.192,404.139,555.820,593.922,0.915039,detected
11,0.367034,far,2,659.000,419.000,3.395957,3.631358,624.691,283.495,678.624,434.923,0.871582,detected
12,0.400400,near,1,502.000,572.000,2.004926,10.789578,462.212,404.451,556.003,594.353,0.920410,detected
12,0.400400,far,2,659.000,416.000,3.394164,3.403324,624.789,283.235,678.623,434.515,0.862305,detected
