frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,is_spatial_valid,speed_valid,confidence,source
0,0.000000,0,,,,,,1,0,0,0,0.000,rejected_static_motion
1,0.047619,1,455.000,202.000,,,,0,0,0,0,0.401,refined
2,0.095238,1,455.000,202.000,,,,0,0,0,0,0.800,refined
3,0.142857,1,463.000,214.000,,,,0,1,0,0,0.250,interp
4,0.190476,1,470.000,227.000,,,,0,1,0,0,0.250,interp
5,0.238095,1,478.000,239.000,,,,0,1,0,0,0.250,interp
6,0.285714,1,485.000,252.000,,,,0,1,0,0,0.250,interp
7,0.333333,1,493.000,264.000,,,,0,1,0,0,0.250,interp
8,0.380952,1,500.000,277.000,,,,0,1,0,0,0.250,interp
9,0.428571,1,508.000,289.000,,,,0,0,0,0,0.487,refined
10,0.476190,1,500.000,287.000,,,,0,1,0,0,0.250,interp
11,0.523810,1,493.000,284.000,,,,0,1,0,0,0.250,interp
12,0.571429,1,485.000,282.000,,,,0,1,0,0,0.250,interp
13,0.619048,1,478.000,279.000,,,,0,1,0,0,0.250,interp
14,0.666667,1,470.000,277.000,,,,0,0,0,0,0.800,refined
15,0.714286,1,470.000,277.000,,,,0,0,0,0,0.799,refined
16,0.761905,1,474.000,275.000,,,,0,0,0,0,0.800,refined
17,0.809524,1,476.000,277.000,,,,0,0,0,0,0.800,refined
18,0.857143,1,478.000,275.000,,,,0,0,0,0,0.800,refined
19,0.904762,1,481.000,277.000,,,,0,0,0,0,0.792,refined
20,0.952381,1,483.000,277.000,,,,0,0,0,0,0.800,refined
21,1.000000,1,485.000,277.000,,,,0,0,0,0,0.784,refined
22,1.047619,1,487.000,277.000,,,,0,0,0,0,0.788,refined
23,1.095238,1,518.000,267.000,,,,0,1,0,0,0.250,interp
24,1.142857,1,550.000,257.000,,,,0,1,0,0,0.250,interp
25,1.190476,1,581.000,247.000,,,,0,1,0,0,0.250,interp
26,1.238095,1,612.000,237.000,,,,0,1,0,0,0.250,interp
27,1.285714,1,644.000,227.000,,,,0,1,0,0,0.250,interp
28,1.333333,1,675.000,217.000,,,,0,0,0,0,0.589,refined
29,1.380952,1,680.000,217.000,,,,0,1,0,0,0.250,interp
30,1.428571,1,684.000,217.000,,,,0,0,0,0,0.800,refined
31,1.476190,1,676.000,203.000,,,,0,0,0,0,0.800,refined
32,1.523810,1,675.000,190.000,,,,0,0,0,0,0.672,refined
33,1.571429,1,629.000,226.000,,,,0,0,0,0,0.800,refined
34,1.619048,1,610.000,252.000,,,,0,0,0,0,0.800,refined
35,1.666667,1,595.000,277.000,,,,0,0,0,0,0.720,refined
36,1.714286,1,687.000,286.000,,,,0,0,0,0,0.410,refined
37,1.761905,1,691.000,286.000,,,,0,1,0,0,0.250,interp
38,1.809524,1,695.000,285.000,,,,0,0,0,0,0.408,refined
39,1.857143,1,695.000,285.000,,,,0,0,0,0,0.406,refined
40,1.904762,1,599.000,276.000,,,,0,0,0,0,0.401,refined
41,1.952381,1,590.000,272.000,,,,0,0,0,0,0.572,refined
