frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.047619,near,0.000000,0.000000,0.000000,0.000000
1,0.047619,far,0.000000,0.000000,0.000000,0.000000
2,0.095238,near,0.108000,0.015000,0.015000,0.108000
2,0.095238,far,0.000000,0.000000,0.000000,0.000000
3,0.142857,near,0.291000,0.056000,0.056000,0.291000
3,0.142857,far,0.000000,0.000000,0.000000,0.000000
4,0.190476,near,0.539000,0.128000,0.128000,0.539000
4,0.190476,far,0.000000,0.000000,0.000000,0.000000
5,0.238095,near,0.710000,0.203000,0.203000,0.710000
5,0.238095,far,0.000000,0.000000,0.000000,0.000000
6,0.285714,near,0.848000,0.242000,0.242000,0.848000
6,0.285714,far,0.322000,0.092000,0.092000,0.322000
7,0.333333,near,1.010000,0.289000,0.289000,1.010000
7,0.333333,far,0.808000,0.231000,0.231000,0.808000
8,0.380952,near,1.064000,0.320000,0.320000,1.064000
8,0.380952,far,1.233000,0.352000,0.352000,1.233000
9,0.428571,near,1.271000,0.419000,0.419000,1.271000
9,0.428571,far,1.353000,0.387000,0.387000,1.353000
10,0.476190,near,2.331000,0.794000,0.794000,2.331000
10,0.476190,far,1.881000,0.537000,0.537000,1.881000
11,0.523810,near,2.433000,0.898000,0.898000,2.433000
11,0.523810,far,1.881000,0.537000,0.537000,1.881000
12,0.571429,near,2.785000,1.038000,1.038000,2.785000
12,0.571429,far,1.840000,0.618000,0.618000,1.840000
13,0.619048,near,3.416000,1.265000,1.265000,3.416000
13,0.619048,far,1.851000,0.760000,0.760000,1.851000
14,0.666667,near,3.797000,1.404000,1.404000,3.797000
14,0.666667,far,1.426000,0.760000,0.760000,1.426000
15,0.714286,near,3.884000,1.528000,1.528000,3.884000
15,0.714286,far,1.543000,0.827000,0.827000,1.543000
16,0.761905,near,3.556000,1.811000,1.811000,3.556000
16,0.761905,far,1.253000,0.895000,0.895000,1.253000
17,0.809524,near,3.989000,2.038000,2.038000,3.989000
17,0.809524,far,1.494000,0.964000,0.964000,1.494000
18,0.857143,near,4.949000,2.452000,2.452000,4.949000
18,0.857143,far,1.606000,1.077000,1.077000,1.606000
19,0.904762,near,4.930000,2.673000,2.673000,4.930000
19,0.904762,far,1.350000,1.146000,1.146000,1.350000
20,0.952381,near,5.106000,2.863000,2.863000,5.106000
