frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
0,0.000000,near,,459.000,414.000,2.695720,10.036562,,,,,0,legacy
0,0.000000,far,,,,,,,,,,0,missing
1,0.047619,near,,459.000,414.000,2.695720,10.036562,,,,,0,legacy
1,0.047619,far,,,,,,,,,,0,missing
2,0.095238,near,,460.000,414.000,2.711205,10.036562,,,,,0,legacy
2,0.095238,far,,,,,,,,,,0,missing
3,0.142857,near,,459.000,413.000,2.695009,9.999957,,,,,0,legacy
3,0.142857,far,,,,,,,,,,0,missing
4,0.190476,near,,455.000,412.000,2.632125,9.963215,,,,,0,legacy
4,0.190476,far,,443.000,360.000,2.377805,7.844028,,,,,0,legacy
5,0.238095,near,,454.000,414.000,2.618295,10.036562,,,,,0,legacy
5,0.238095,far,,443.000,360.000,2.377805,7.844028,,,,,0,legacy
6,0.285714,near,,453.000,415.000,2.603690,10.073032,,,,,0,legacy
6,0.285714,far,,444.000,362.000,2.397818,7.933898,,,,,0,legacy
7,0.333333,near,,456.000,415.000,2.650059,10.073032,,,,,0,legacy
7,0.333333,far,,446.000,365.000,2.436047,8.067327,,,,,0,legacy
8,0.380952,near,,458.000,415.000,2.680972,10.073032,,,,,0,legacy
8,0.380952,far,,451.000,363.000,2.518927,7.978556,,,,,0,legacy
9,0.428571,near,,464.000,414.000,2.773145,10.036562,,,,,0,legacy
9,0.428571,far,,449.000,363.000,2.484723,7.978556,,,,,0,legacy
10,0.476190,near,,471.000,424.000,2.885126,10.395284,,,,,0,legacy
10,0.476190,far,,453.000,366.000,2.556339,8.111442,,,,,0,legacy
11,0.523810,near,,476.000,426.000,2.961568,10.465467,,,,,0,legacy
11,0.523810,far,,453.000,366.000,2.556339,8.111442,,,,,0,legacy
12,0.571429,near,,484.000,428.000,3.082736,10.535143,,,,,0,legacy
12,0.571429,far,,457.000,365.000,2.623404,8.067327,,,,,0,legacy
13,0.619048,near,,496.000,432.000,3.262525,10.672994,,,,,0,legacy
13,0.619048,far,,460.000,362.000,2.672014,7.933898,,,,,0,legacy
14,0.666667,near,,505.000,431.000,3.397963,10.638717,,,,,0,legacy
14,0.666667,far,,460.000,362.000,2.672014,7.933898,,,,,0,legacy
15,0.714286,near,,513.000,432.000,3.517270,10.672994,,,,,0,legacy
15,0.714286,far,,463.000,361.000,2.722696,7.889055,,,,,0,legacy
16,0.761905,near,,519.000,440.000,3.599698,10.942844,,,,,0,legacy
16,0.761905,far,,466.000,360.000,2.773587,7.844028,,,,,0,legacy
17,0.809524,near,,530.000,445.000,3.756207,11.107656,,,,,0,legacy
17,0.809524,far,,470.000,360.000,2.842419,7.844028,,,,,0,legacy
18,0.857143,near,,549.000,455.000,4.017960,11.428761,,,,,0,legacy
18,0.857143,far,,476.000,359.000,2.945392,7.798815,,,,,0,legacy
19,0.904762,near,,564.000,457.000,4.229858,11.491659,,,,,0,legacy
19,0.904762,far,,479.000,360.000,2.997290,7.844028,,,,,0,legacy
20,0.952381,near,,576.000,460.000,4.395175,11.585199,,,,,0,legacy
20,0.952381,far,,482.000,357.000,3.048729,7.707827,,,,,0,legacy
21,1.000000,near,,586.000,473.000,4.506150,11.979703,,,,,0,legacy
21,1.000000,far,,484.000,356.000,3.083369,7.662049,,,,,0,legacy
22,1.047619,near,,599.000,480.000,4.668999,12.185109,,,,,0,legacy
22,1.047619,far,,487.000,357.000,3.135304,7.707827,,,,,0,legacy
23,1.095238,near,,618.000,482.000,4.925037,12.242927,,,,,0,legacy
23,1.095238,far,,492.000,352.000,3.223381,7.477020,,,,,0,legacy
24,1.142857,near,,627.000,483.000,5.045560,12.271694,,,,,0,legacy
24,1.142857,far,,496.000,355.000,3.292024,7.616081,,,,,0,legacy
25,1.190476,near,,637.000,481.000,5.189788,12.214066,,,,,0,legacy
25,1.190476,far,,499.000,353.000,3.345296,7.523567,,,,,0,legacy
26,1.238095,near,,644.000,468.000,5.334576,11.830016,,,,,0,legacy
26,1.238095,far,,501.000,352.000,3.380847,7.477020,,,,,0,legacy
27,1.285714,near,,648.000,453.000,5.450852,11.365429,,,,,0,legacy
27,1.285714,far,,502.000,352.000,3.398344,7.477020,,,,,0,legacy
28,1.333333,near,,686.000,442.000,6.056239,11.009118,,,,,0,legacy
28,1.333333,far,,504.000,353.000,3.432594,7.523567,,,,,0,legacy
29,1.380952,near,,686.000,441.000,6.061497,10.976039,,,,,0,legacy
29,1.380952,far,,505.000,352.000,3.450833,7.477020,,,,,0,legacy
30,1.428571,near,,685.000,440.000,6.052001,10.942844,,,,,0,legacy
30,1.428571,far,,507.000,349.000,3.488401,7.336200,,,,,0,legacy
31,1.476190,near,,685.000,439.000,6.057270,10.909531,,,,,0,legacy
31,1.476190,far,,509.000,346.000,3.526448,7.193588,,,,,0,legacy
32,1.523810,near,,652.000,426.000,5.627620,10.465467,,,,,0,legacy
32,1.523810,far,,510.000,346.000,3.544167,7.193588,,,,,0,legacy
33,1.571429,near,,691.000,458.000,6.046152,11.522946,,,,,0,legacy
33,1.571429,far,,512.000,345.000,3.580671,7.145646,,,,,0,legacy
34,1.619048,near,,657.000,412.000,5.771747,9.963215,,,,,0,legacy
34,1.619048,far,,509.000,353.000,3.519893,7.523567,,,,,0,legacy
35,1.666667,near,,665.000,416.000,5.875270,10.109367,,,,,0,legacy
35,1.666667,far,,508.000,355.000,3.500668,7.616081,,,,,0,legacy
36,1.714286,near,,675.000,427.000,5.970778,10.500368,,,,,0,legacy
36,1.714286,far,,508.000,356.000,3.499791,7.662049,,,,,0,legacy
37,1.761905,near,,686.000,447.000,6.030226,11.172775,,,,,0,legacy
37,1.761905,far,,508.000,355.000,3.500668,7.616081,,,,,0,legacy
38,1.809524,near,,688.000,446.000,6.064628,11.140273,,,,,0,legacy
38,1.809524,far,,511.000,354.000,3.553819,7.569920,,,,,0,legacy
39,1.857143,near,,688.000,446.000,6.064628,11.140273,,,,,0,legacy
39,1.857143,far,,515.000,354.000,3.623512,7.569920,,,,,0,legacy
40,1.904762,near,,687.000,446.000,6.050010,11.140273,,,,,0,legacy
40,1.904762,far,,516.000,353.000,3.642111,7.523567,,,,,0,legacy
41,1.952381,near,,687.000,445.000,6.055220,11.107656,,,,,0,legacy
41,1.952381,far,,518.000,354.000,3.675782,7.569920,,,,,0,legacy
42,2.000000,near,,686.000,445.000,6.040577,11.107656,,,,,0,legacy
42,2.000000,far,,518.000,355.000,3.674539,7.616081,,,,,0,legacy
43,2.047619,near,,685.000,444.000,6.031110,11.074926,,,,,0,legacy
43,2.047619,far,,520.000,355.000,3.709313,7.616081,,,,,0,legacy
44,2.095238,near,,680.000,444.000,5.957765,11.074926,,,,,0,legacy
44,2.095238,far,,525.000,354.000,3.797745,7.569920,,,,,0,legacy
45,2.142857,near,,,,,,,,,,0,missing
45,2.142857,far,,525.000,352.000,3.800759,7.477020,,,,,0,legacy
46,2.190476,near,,,,,,,,,,0,missing
46,2.190476,far,,526.000,354.000,3.815169,7.569920,,,,,0,legacy
47,2.238095,near,,,,,,,,,,0,missing
47,2.238095,far,,527.000,352.000,3.835751,7.477020,,,,,0,legacy
48,2.285714,near,,,,,,,,,,0,missing
48,2.285714,far,,525.000,352.000,3.800759,7.477020,,,,,0,legacy
49,2.333333,near,,,,,,,,,,0,missing
49,2.333333,far,,523.000,351.000,3.767209,7.430277,,,,,0,legacy
50,2.380952,near,,,,,,,,,,0,missing
50,2.380952,far,,522.000,352.000,3.748270,7.477020,,,,,0,legacy
51,2.428571,near,,686.000,449.000,6.019948,11.237440,,,,,0,legacy
51,2.428571,far,,522.000,351.000,3.749676,7.430277,,,,,0,legacy
52,2.476190,near,,676.000,452.000,5.860005,11.333598,,,,,0,legacy
52,2.476190,far,,522.000,352.000,3.748270,7.477020,,,,,0,legacy
53,2.523810,near,,669.000,450.000,5.768061,11.269604,,,,,0,legacy
53,2.523810,far,,522.000,351.000,3.749676,7.430277,,,,,0,legacy
54,2.571429,near,,663.000,444.000,5.708390,11.074926,,,,,0,legacy
54,2.571429,far,,522.000,351.000,3.749676,7.430277,,,,,0,legacy
55,2.619048,near,,650.000,440.000,5.534949,10.942844,,,,,0,legacy
55,2.619048,far,,520.000,352.000,3.713277,7.477020,,,,,0,legacy
56,2.666667,near,,644.000,439.000,5.450507,10.909531,,,,,0,legacy
56,2.666667,far,,519.000,352.000,3.695781,7.477020,,,,,0,legacy
57,2.714286,near,,639.000,440.000,5.372447,10.942844,,,,,0,legacy
