Frame,Visibility,X,Y
0,1,707,483
1,1,707,479
2,1,710,478
3,1,712,475
4,1,713,472
5,1,714,472
6,1,715,468
7,1,715,467
8,1,716,467
9,1,717,465
10,1,717,466
11,1,718,467
12,1,717,470
13,1,717,471
14,1,718,475
15,1,719,483
16,1,718,489
17,1,717,495
18,1,720,501
19,1,707,457
20,1,702,420
21,1,696,392
22,1,690,369
23,1,687,353
24,1,684,338
25,1,682,329
26,1,679,322
27,1,677,316
28,1,677,311
29,1,673,306
30,1,673,302
31,1,671,299
32,1,669,298
33,1,670,296
34,1,668,297
35,1,666,297
36,1,666,299
37,1,665,301
38,1,665,301
39,1,664,302
40,1,665,307
41,0,0,0
42,1,663,313
43,1,663,319
44,1,662,322
45,1,663,326
46,1,663,331
47,1,663,337
48,1,663,342
49,1,663,347
50,1,663,353
51,1,663,359
52,1,663,367
53,1,662,374
54,1,662,380
55,1,662,378
56,1,662,367
57,1,661,356
58,1,662,346
59,1,660,337
60,1,657,332
61,1,655,326
62,1,654,320
63,1,654,315
64,1,654,311
65,1,653,309
66,1,654,306
67,1,651,304
68,1,651,301
69,1,649,300
70,1,648,300
71,1,647,300
72,1,645,300
73,1,644,305
74,1,645,305
75,1,644,309
76,1,642,313
77,1,643,318
78,1,640,323
79,1,639,330
80,1,638,336
81,1,638,343
82,1,636,352
83,1,635,360
84,1,634,369
85,1,632,381
86,1,633,391
87,1,631,402
88,1,630,414
89,1,629,427
90,1,629,440
91,0,0,0
92,0,0,0
93,1,647,413
94,1,652,373
95,1,662,341
96,1,669,315
97,1,677,294
98,1,680,276
99,1,686,258
100,0,0,0
101,1,695,232
102,1,699,224
103,1,702,215
104,1,706,208
105,1,710,202
106,1,712,197
107,1,714,195
108,1,717,190
109,1,718,188
110,1,722,183
111,1,722,183
112,1,728,182
113,1,731,183
114,1,730,184
115,1,733,184
116,1,734,186
117,1,736,187
118,1,738,191
119,1,740,192
120,1,744,196
121,1,745,198
122,1,748,203
123,1,749,209
124,1,751,214
125,1,754,221
126,1,757,227
127,1,757,234
128,1,759,240
129,0,0,0
130,1,761,252
131,1,763,262
132,1,765,270
133,1,765,280
134,1,766,286
135,1,768,293
136,1,769,300
137,1,771,309
138,1,772,320
139,1,772,327
140,1,774,339
141,1,775,348
142,1,776,358
143,1,777,365
144,1,778,375
145,1,778,384
146,1,780,394
147,1,780,404
148,1,780,412
149,1,772,402
150,1,754,401
151,1,738,397
152,1,722,395
153,1,706,392
154,1,692,391
155,1,675,392
156,1,664,393
157,1,654,393
158,1,641,395
159,1,627,398
160,1,617,399
161,1,607,403
162,1,595,408
163,1,584,411
164,1,573,416
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,1,525,454
170,1,517,459
171,1,508,471
172,1,498,485
173,1,491,491
174,1,482,503
175,1,474,514
176,1,465,524
177,1,460,536
178,1,458,531
179,1,455,531
180,1,457,528
181,1,460,525
182,1,463,525
183,1,462,522
184,1,465,520
185,1,464,519
186,1,462,520
187,1,462,521
188,1,463,523
189,1,463,529
190,1,462,535
191,1,463,539
192,1,463,539
193,1,463,540
194,1,464,540
195,1,463,540
196,1,463,539
197,1,462,539
198,1,463,540
199,1,464,540
200,1,465,539
201,1,463,540
202,1,464,540
203,1,463,539
204,1,464,540
205,1,464,541
206,1,465,541
207,1,466,540
208,1,466,540
209,1,466,540
210,1,467,540
211,1,465,542
212,1,466,540
213,1,466,540
214,1,465,541
215,1,467,541
216,1,467,541
217,1,466,538
218,1,466,541
219,1,467,541
220,1,467,540
221,1,467,540
222,1,467,541
223,1,467,541
224,1,466,541
