Frame,Visibility,X,Y
0,1,564,489
1,1,564,488
2,1,564,486
3,1,564,489
4,1,565,488
5,1,563,488
6,1,563,489
7,1,563,488
8,1,564,491
9,1,565,491
10,1,564,489
11,1,565,490
12,1,565,490
13,1,565,490
14,1,563,487
15,1,564,487
16,1,566,488
17,1,565,488
18,1,564,488
19,1,566,488
20,1,566,485
21,1,566,484
22,1,566,483
23,1,565,483
24,1,568,482
25,1,567,480
26,1,566,479
27,1,568,478
28,1,569,477
29,1,570,476
30,1,569,476
31,1,570,473
32,1,570,472
33,1,573,472
34,1,572,471
35,1,573,469
36,1,574,465
37,1,574,464
38,1,575,462
39,1,575,457
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,1,604,402
45,1,612,384
46,1,620,367
47,1,629,356
48,1,636,346
49,1,643,337
50,1,650,332
51,1,656,327
52,1,661,322
53,1,665,319
54,1,671,316
55,1,678,316
56,1,683,316
57,1,688,316
58,1,691,319
59,1,696,323
60,1,700,326
61,1,704,331
62,1,709,336
63,1,713,341
64,1,716,348
65,1,725,318
66,1,725,295
67,1,730,276
68,1,738,256
69,0,0,0
70,1,746,227
71,1,751,216
72,1,756,205
73,1,760,196
74,1,764,188
75,1,766,182
76,1,769,177
77,1,772,174
78,1,776,170
79,1,781,171
80,1,782,171
81,1,786,171
82,1,787,174
83,1,790,178
84,1,793,184
85,1,794,188
86,1,797,195
87,1,799,203
88,1,801,212
89,1,803,222
90,1,803,234
91,1,806,249
92,1,806,263
93,1,808,278
94,1,809,295
95,1,810,311
96,1,812,328
97,1,813,342
98,1,813,362
99,1,813,379
100,1,812,372
101,1,807,348
102,1,803,336
103,1,803,329
104,1,800,323
105,1,799,317
106,1,798,315
107,1,798,312
108,1,798,311
109,1,798,311
110,1,797,312
111,1,797,312
112,1,798,319
113,1,798,322
114,1,799,326
115,1,799,329
116,1,799,335
117,1,801,340
118,1,802,349
119,1,803,354
120,1,803,359
121,1,809,350
122,1,811,337
123,1,814,328
124,1,819,322
125,1,819,316
126,1,822,314
127,1,823,315
128,1,825,315
129,1,827,315
130,1,831,316
131,1,834,317
132,1,836,320
133,1,838,324
134,1,841,329
135,1,842,334
136,1,845,343
137,1,845,350
138,1,846,358
139,1,848,368
140,1,850,379
141,1,851,391
142,1,853,400
143,1,854,415
144,1,854,429
145,1,856,442
146,1,857,456
147,1,858,471
148,1,856,463
149,1,847,401
150,1,850,363
151,1,840,322
152,1,838,292
153,1,833,266
154,1,830,241
155,1,828,221
156,1,826,207
157,1,823,192
158,1,822,180
159,1,819,168
160,1,818,159
161,1,817,152
162,1,817,146
163,1,815,140
164,1,813,139
165,1,812,135
166,1,811,133
167,1,810,132
168,1,810,132
169,1,810,132
170,1,808,132
171,1,807,135
172,1,808,138
173,1,807,143
174,1,807,148
175,1,807,153
176,1,806,159
177,1,806,166
178,1,806,173
179,1,806,181
180,1,803,196
181,1,769,257
182,1,754,291
183,1,742,317
184,1,730,346
185,1,721,368
186,1,711,388
187,1,701,408
188,1,698,428
189,1,693,447
190,0,0,0
191,0,0,0
192,0,0,0
193,1,701,412
194,1,705,401
195,1,707,380
196,1,713,364
197,1,718,351
198,1,722,345
199,1,726,336
200,1,729,329
201,1,732,325
202,1,736,321
203,1,739,317
204,1,741,316
205,1,745,314
206,1,752,314
207,1,753,313
208,1,756,320
209,1,758,323
210,1,761,327
211,1,765,329
212,1,766,335
213,1,769,340
214,1,772,351
215,1,775,358
216,1,777,366
217,1,781,374
218,1,782,385
219,1,786,395
220,1,786,392
221,1,794,380
222,1,796,364
223,1,800,353
224,1,805,340
225,1,811,336
226,1,809,319
227,1,810,312
228,1,813,305
229,1,814,304
230,1,816,299
231,1,818,298
232,1,818,296
233,1,820,295
234,1,820,295
235,1,821,297
236,1,823,298
237,1,824,304
238,1,825,309
239,1,826,314
240,1,827,319
241,1,828,329
242,1,828,338
243,1,828,345
244,1,830,355
245,1,830,366
246,1,831,380
247,1,830,388
248,1,834,402
249,1,832,414
250,1,833,429
251,1,831,415
252,0,0,0
253,1,819,317
254,1,814,292
255,1,810,267
256,1,807,242
257,1,804,224
258,1,802,208
259,1,801,191
260,1,798,180
261,1,797,167
262,1,795,156
263,1,793,150
264,1,792,143
265,1,791,138
266,1,790,133
267,1,788,130
268,1,787,128
269,1,787,128
270,1,787,127
271,1,786,127
272,1,784,129
273,1,784,131
274,1,784,134
275,1,783,138
276,1,784,142
277,1,783,147
278,1,783,153
279,1,782,160
280,1,782,168
281,1,782,175
282,1,782,185
283,1,783,192
284,1,783,202
285,1,782,212
286,1,783,221
287,1,747,230
288,1,716,230
289,1,694,232
290,1,674,235
291,1,655,239
292,1,634,245
293,1,617,250
294,1,604,254
295,1,588,260
296,1,574,268
297,1,561,275
298,1,548,284
299,1,535,294
300,1,525,303
301,1,514,310
302,1,503,322
303,1,495,336
304,1,484,343
305,1,476,356
306,1,466,370
307,1,457,384
308,1,451,398
309,1,444,414
310,1,434,428
311,1,426,439
312,1,421,458
313,1,414,472
314,1,408,490
315,1,401,507
316,1,417,485
317,1,451,420
318,1,479,377
319,1,502,344
320,1,522,313
321,1,540,286
322,1,555,264
323,1,574,243
324,1,582,232
325,1,597,216
326,1,610,201
327,1,620,192
328,1,631,180
329,1,641,174
330,1,648,167
331,1,658,161
332,1,665,161
333,1,673,155
334,1,681,154
335,1,688,156
336,1,694,156
337,1,704,157
338,1,711,159
339,1,715,162
340,1,720,165
341,1,729,169
342,1,734,177
343,1,738,183
344,1,745,188
345,1,753,211
346,1,766,259
347,1,775,297
348,1,785,327
349,1,793,352
350,1,795,380
351,1,805,407
352,1,812,431
353,1,816,450
354,1,821,474
355,1,826,493
356,1,829,517
357,1,833,506
358,1,831,463
359,1,832,422
360,1,834,399
361,1,835,375
362,1,835,363
363,1,836,344
364,1,839,330
