Frame,Visibility,X,Y,Source,Confidence
0,0,0,0,rejected_static_motion,0.000
1,1,707,479,refined,0.696
2,1,710,478,refined,0.657
3,1,712,475,refined,0.666
4,1,713,472,refined,0.663
5,1,714,472,refined,0.594
6,1,715,468,refined,0.615
7,1,715,467,refined,0.553
8,1,716,467,refined,0.515
9,1,717,465,refined,0.508
10,1,717,466,refined,0.424
11,1,718,467,refined,0.479
12,1,717,470,refined,0.515
13,1,717,471,refined,0.591
14,1,718,475,refined,0.626
15,1,719,483,refined,0.584
16,1,718,489,refined,0.575
17,1,717,495,refined,0.618
18,1,712,476,interp,0.250
19,1,707,457,refined,0.485
20,1,702,423,refined,0.481
21,1,696,393,refined,0.481
22,1,690,369,refined,0.476
23,1,687,352,refined,0.495
24,1,684,338,refined,0.495
25,1,682,328,refined,0.541
26,1,679,322,refined,0.624
27,1,677,316,refined,0.628
28,1,677,311,refined,0.587
29,1,673,306,refined,0.529
30,1,673,302,refined,0.511
31,1,671,299,refined,0.524
32,1,669,298,refined,0.503
33,1,670,296,refined,0.498
34,1,668,297,refined,0.466
35,1,666,297,refined,0.477
36,1,666,299,refined,0.482
37,1,665,301,refined,0.481
38,1,665,301,refined,0.494
39,1,664,302,refined,0.507
40,1,665,307,refined,0.509
41,1,664,310,interp,0.250
42,1,663,313,refined,0.499
43,1,663,319,refined,0.515
44,1,662,322,refined,0.567
45,1,663,326,refined,0.599
46,1,663,331,refined,0.610
47,1,663,337,refined,0.554
48,1,663,342,refined,0.553
49,1,663,347,refined,0.548
50,1,663,353,refined,0.542
51,1,663,359,refined,0.545
52,1,663,367,refined,0.509
53,1,662,374,refined,0.490
54,1,662,376,interp,0.250
55,1,662,378,refined,0.475
56,1,662,368,refined,0.492
57,1,661,356,refined,0.498
58,1,662,346,refined,0.474
59,1,660,337,refined,0.492
60,1,657,332,refined,0.547
61,1,655,326,refined,0.603
62,1,654,320,refined,0.586
63,1,654,315,refined,0.563
64,1,654,311,refined,0.550
65,1,653,309,refined,0.501
66,1,654,306,refined,0.492
67,1,651,304,refined,0.501
68,1,651,301,refined,0.508
69,1,649,300,refined,0.497
70,1,648,300,refined,0.476
71,1,647,300,refined,0.485
72,1,645,300,refined,0.532
73,1,644,305,refined,0.542
74,1,645,305,refined,0.562
75,1,644,309,refined,0.536
76,1,642,313,refined,0.573
77,1,643,318,refined,0.592
78,1,640,323,refined,0.653
79,1,639,330,refined,0.695
80,1,638,336,refined,0.675
81,1,638,343,refined,0.669
82,1,636,352,refined,0.647
83,1,635,360,refined,0.661
84,1,634,369,refined,0.663
85,1,632,381,refined,0.643
86,1,633,391,refined,0.651
87,1,631,402,refined,0.658
88,1,630,414,refined,0.643
89,1,629,427,refined,0.604
90,1,629,440,refined,0.724
91,1,635,431,interp,0.250
92,1,641,422,interp,0.250
93,1,647,413,refined,0.445
94,1,652,376,refined,0.477
95,1,661,342,refined,0.486
96,1,669,315,refined,0.507
97,1,677,293,refined,0.490
98,0,0,0,rejected_roi,0.000
99,0,0,0,rejected_roi,0.000
100,0,0,0,missing,0.000
101,0,0,0,rejected_roi,0.000
102,0,0,0,rejected_roi,0.000
103,0,0,0,rejected_roi,0.000
104,0,0,0,rejected_roi,0.000
105,0,0,0,rejected_roi,0.000
106,0,0,0,rejected_roi,0.000
107,0,0,0,rejected_roi,0.000
108,0,0,0,rejected_roi,0.000
109,0,0,0,rejected_roi,0.000
110,0,0,0,rejected_roi,0.000
111,0,0,0,rejected_roi,0.000
112,0,0,0,rejected_roi,0.000
113,0,0,0,rejected_roi,0.000
114,0,0,0,rejected_roi,0.000
115,0,0,0,rejected_roi,0.000
116,0,0,0,rejected_roi,0.000
117,0,0,0,rejected_roi,0.000
118,0,0,0,rejected_roi,0.000
119,0,0,0,rejected_roi,0.000
120,0,0,0,rejected_roi,0.000
121,0,0,0,rejected_roi,0.000
122,0,0,0,rejected_roi,0.000
123,0,0,0,rejected_roi,0.000
124,0,0,0,rejected_roi,0.000
125,0,0,0,rejected_roi,0.000
126,0,0,0,rejected_roi,0.000
127,0,0,0,rejected_roi,0.000
128,0,0,0,rejected_roi,0.000
129,0,0,0,missing,0.000
130,0,0,0,rejected_roi,0.000
131,0,0,0,rejected_roi,0.000
132,0,0,0,rejected_roi,0.000
133,0,0,0,rejected_roi,0.000
134,1,766,286,refined,0.520
135,1,768,293,refined,0.497
136,1,769,300,refined,0.471
137,1,771,309,refined,0.492
138,1,772,320,refined,0.527
139,1,772,327,refined,0.508
