frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033333,near,0.583040,0.038869,0.038869,1.166079
1,0.033333,far,0.000000,0.000000,0.000000,0.000000
2,0.066667,near,0.482182,0.048218,0.048218,1.166079
2,0.066667,far,0.000000,0.000000,0.000000,0.000000
3,0.100000,near,0.431756,0.057567,0.057567,1.166079
3,0.100000,far,0.000000,0.000000,0.000000,0.000000
4,0.133333,near,0.345405,0.057567,0.057567,1.166079
4,0.133333,far,0.000000,0.000000,0.000000,0.000000
5,0.166667,near,0.287837,0.057567,0.057567,1.166079
5,0.166667,far,0.000000,0.000000,0.000000,0.000000
6,0.200000,near,0.287837,0.057567,0.057567,1.166079
6,0.200000,far,0.000000,0.000000,0.000000,0.000000
7,0.233333,near,0.093491,0.057567,0.057567,1.166079
7,0.233333,far,0.000000,0.000000,0.000000,0.000000
8,0.266667,near,0.046747,0.057567,0.057567,1.166079
8,0.266667,far,0.000000,0.000000,0.000000,0.000000
9,0.300000,near,0.187902,0.095148,0.095148,1.166079
9,0.300000,far,0.000000,0.000000,0.000000,0.000000
10,0.333333,near,0.187902,0.095148,0.095148,1.166079
10,0.333333,far,0.000000,0.000000,0.000000,0.000000
11,0.366667,near,0.428725,0.143312,0.143312,1.444933
11,0.366667,far,0.000000,0.000000,0.000000,0.000000
12,0.400000,near,0.624795,0.182527,0.182527,1.444933
12,0.400000,far,0.000000,0.000000,0.000000,0.000000
13,0.433333,near,0.624795,0.182527,0.182527,1.444933
13,0.433333,far,0.000000,0.000000,0.000000,0.000000
14,0.466667,near,1.023305,0.262229,0.262229,2.391059
14,0.466667,far,0.000000,0.000000,0.000000,0.000000
15,0.500000,near,0.835403,0.262229,0.262229,2.391059
15,0.500000,far,0.000000,0.000000,0.000000,0.000000
16,0.533333,near,0.882910,0.271730,0.271730,2.391059
16,0.533333,far,0.000000,0.000000,0.000000,0.000000
17,0.566667,near,0.836162,0.310545,0.310545,2.391059
17,0.566667,far,0.000000,0.000000,0.000000,0.000000
18,0.600000,near,0.839461,0.350419,0.350419,2.391059
18,0.600000,far,0.000000,0.000000,0.000000,0.000000
19,0.633333,near,1.041029,0.390732,0.390732,2.391059
19,0.633333,far,0.000000,0.000000,0.000000,0.000000
20,0.666667,near,1.046189,0.471466,0.471466,2.422023
