frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
0,0.000000,near,1,651.000,597.000,3.896788,11.108406,631.004,402.518,702.828,612.035,0.893054,detected
0,0.000000,far,,,,,,,,,,0.000000,missing
1,0.033333,near,1,650.000,596.000,3.878167,11.074287,631.175,402.525,703.119,612.377,0.891898,detected
1,0.033333,far,,,,,,,,,,0.000000,missing
2,0.066667,near,1,651.000,596.000,3.887332,11.072445,633.733,402.515,705.856,612.288,0.907527,detected
2,0.066667,far,,,,,,,,,,0.000000,missing
3,0.100000,near,1,652.000,596.000,3.896498,11.070601,634.433,402.462,706.814,612.217,0.903741,detected
3,0.100000,far,,,,,,,,,,0.000000,missing
4,0.133333,near,1,652.000,596.000,3.896498,11.070601,636.068,402.441,709.017,612.352,0.905280,detected
4,0.133333,far,,,,,,,,,,0.000000,missing
5,0.166667,near,1,652.000,596.000,3.896498,11.070601,637.319,402.402,711.008,612.360,0.911790,detected
5,0.166667,far,,,,,,,,,,0.000000,missing
6,0.200000,near,1,652.000,596.000,3.896498,11.070601,637.264,402.484,711.696,612.501,0.910298,detected
6,0.200000,far,,,,,,,,,,0.000000,missing
7,0.233333,near,1,652.000,596.000,3.896498,11.070601,636.616,402.518,711.655,612.474,0.907604,detected
7,0.233333,far,,,,,,,,,,0.000000,missing
8,0.266667,near,1,652.000,596.000,3.896498,11.070601,636.590,402.436,712.250,612.301,0.907237,detected
8,0.266667,far,,,,,,,,,,0.000000,missing
9,0.300000,near,1,652.000,595.000,3.886991,11.034244,636.449,402.450,712.737,612.163,0.908262,detected
9,0.300000,far,,,,,,,,,,0.000000,missing
10,0.333333,near,1,652.000,595.000,3.886991,11.034244,635.833,402.481,712.790,612.201,0.905717,detected
10,0.333333,far,,,,,,,,,,0.000000,missing
11,0.366667,near,1,655.000,596.000,3.923996,11.065072,634.484,402.675,711.918,612.295,0.899296,detected
11,0.366667,far,,,,,,,,,,0.000000,missing
12,0.400000,near,1,654.000,595.000,3.905421,11.030537,632.915,402.722,710.633,612.422,0.892001,detected
12,0.400000,far,,,,,,,,,,0.000000,missing
13,0.433333,near,1,654.000,595.000,3.905421,11.030537,631.246,402.679,708.865,612.106,0.906534,detected
13,0.433333,far,,,,,,,,,,0.000000,missing
14,0.466667,near,1,652.000,593.000,3.867666,10.960344,629.707,402.641,706.916,611.712,0.911634,detected
14,0.466667,far,,,,,,,,,,0.000000,missing
15,0.500000,near,1,652.000,593.000,3.867666,10.960344,628.834,402.575,705.561,611.411,0.910706,detected
15,0.500000,far,,,,,,,,,,0.000000,missing
16,0.533333,near,1,653.000,593.000,3.876980,10.958470,628.633,402.313,705.213,611.909,0.905718,detected
16,0.533333,far,,,,,,,,,,0.000000,missing
17,0.566667,near,1,653.000,592.000,3.867210,10.920905,628.387,401.915,704.514,611.744,0.906757,detected
17,0.566667,far,,,,,,,,,,0.000000,missing
18,0.600000,near,1,654.000,591.000,3.866750,10.881034,627.291,401.307,702.790,611.862,0.908154,detected
18,0.600000,far,,,,,,,,,,0.000000,missing
19,0.633333,near,1,655.000,590.000,3.866286,10.840723,626.473,400.464,701.312,612.138,0.899918,detected
19,0.633333,far,,,,,,,,,,0.000000,missing
20,0.666667,near,1,656.000,588.000,3.855765,10.760677,626.959,399.755,700.412,609.893,0.907008,detected
20,0.666667,far,,,,,,,,,,0.000000,missing
21,0.700000,near,1,658.000,588.000,3.874915,10.756823,627.305,399.146,700.016,609.260,0.906085,detected
21,0.700000,far,,,,,,,,,,0.000000,missing
22,0.733333,near,1,659.000,588.000,3.884490,10.754896,620.524,397.887,694.503,608.739,0.912657,detected
22,0.733333,far,,,,,,,,,,0.000000,missing
23,0.766667,near,1,660.000,587.000,3.884116,10.713198,617.585,396.950,692.779,608.783,0.887932,detected
23,0.766667,far,,,,,,,,,,0.000000,missing
24,0.800000,near,1,661.000,586.000,3.883739,10.671028,611.020,395.864,688.772,609.218,0.905923,detected
24,0.800000,far,,,,,,,,,,0.000000,missing
25,0.833333,near,1,661.000,586.000,3.883739,10.671028,609.873,395.112,689.263,609.204,0.908104,detected
25,0.833333,far,,,,,,,,,,0.000000,missing
26,0.866667,near,1,662.000,584.000,3.873177,10.587217,604.340,395.000,686.363,609.596,0.914199,detected
26,0.866667,far,,,,,,,,,,0.000000,missing
27,0.900000,near,1,662.000,585.000,3.883357,10.628381,600.473,395.000,685.087,609.920,0.910312,detected
27,0.900000,far,,,,,,,,,,0.000000,missing
28,0.933333,near,1,663.000,585.000,3.893095,10.626420,598.062,395.000,684.765,609.148,0.916382,detected
28,0.933333,far,,,,,,,,,,0.000000,missing
29,0.966667,near,1,664.000,587.000,3.922632,10.705444,596.422,395.000,685.201,608.893,0.917639,detected
29,0.966667,far,,,,,,,,,,0.000000,missing
30,1.000000,near,1,664.000,587.000,3.922632,10.705444,595.565,395.000,686.232,608.923,0.915089,detected
30,1.000000,far,,,,,,,,,,0.000000,missing
31,1.033333,near,1,664.000,587.000,3.922632,10.705444,595.396,395.000,687.786,609.475,0.917521,detected
31,1.033333,far,,,,,,,,,,0.000000,missing
32,1.066667,near,1,665.000,588.000,3.941941,10.743333,595.779,395.000,689.547,610.081,0.915655,detected
32,1.066667,far,,,,,,,,,,0.000000,missing
33,1.100000,near,1,666.000,589.000,3.961036,10.780802,597.562,395.000,692.140,610.734,0.909478,detected
33,1.100000,far,,,,,,,,,,0.000000,missing
34,1.133333,near,1,666.000,592.000,3.988972,10.896410,599.227,395.000,694.205,611.318,0.906668,detected
34,1.133333,far,,,,,,,,,,0.000000,missing
35,1.166667,near,1,666.000,593.000,3.998082,10.934110,602.014,395.000,696.763,611.787,0.902219,detected
35,1.166667,far,,,,,,,,,,0.000000,missing
36,1.200000,near,1,665.000,593.000,3.988766,10.935984,605.421,395.000,699.287,612.177,0.905710,detected
36,1.200000,far,,,,,,,,,,0.000000,missing
37,1.233333,near,1,663.000,594.000,3.979296,10.976995,610.028,395.000,702.386,612.834,0.898201,detected
37,1.233333,far,,,,,,,,,,0.000000,missing
38,1.266667,near,1,663.000,594.000,3.979296,10.976995,614.894,395.000,705.041,613.141,0.900785,detected
38,1.266667,far,,,,,,,,,,0.000000,missing
39,1.300000,near,1,662.000,597.000,3.997082,11.088241,618.841,395.000,706.663,613.632,0.889380,detected
39,1.300000,far,,,,,,,,,,0.000000,missing
40,1.333333,near,1,661.000,598.000,3.996838,11.125754,620.644,395.000,706.392,614.055,0.893328,detected
40,1.333333,far,,,,,,,,,,0.000000,missing
41,1.366667,near,1,660.000,596.000,3.969828,11.055856,620.715,395.000,704.730,614.399,0.898480,detected
41,1.366667,far,,,,,,,,,,0.000000,missing
42,1.400000,near,1,659.000,595.000,3.951497,11.021270,619.653,395.000,702.187,614.132,0.898488,detected
42,1.400000,far,,,,,,,,,,0.000000,missing
43,1.433333,near,1,657.000,595.000,3.933066,11.024977,616.943,395.000,698.316,614.067,0.899881,detected
43,1.433333,far,,,,,,,,,,0.000000,missing
44,1.466667,near,1,654.000,595.000,3.905421,11.030537,614.797,395.000,695.404,613.897,0.902225,detected
44,1.466667,far,,,,,,,,,,0.000000,missing
45,1.500000,near,1,651.000,596.000,3.887332,11.072445,616.356,395.000,698.114,613.837,0.907182,detected
45,1.500000,far,,,,,,,,,,0.000000,missing
46,1.533333,near,1,648.000,596.000,3.859836,11.077974,616.287,395.000,700.317,614.491,0.904841,detected
46,1.533333,far,,,,,,,,,,0.000000,missing
