Frame,Visibility,X,Y,Source,Confidence
0,0,0,0,rejected_static_motion,0.000
1,1,653,463,refined,0.486
2,1,652,463,refined,0.447
3,1,652,462,interp,0.250
4,1,652,462,refined,0.473
5,1,652,462,interp,0.250
6,1,652,462,refined,0.469
7,1,656,461,refined,0.476
8,1,653,460,refined,0.487
9,1,654,459,refined,0.468
10,1,653,463,refined,0.451
11,1,652,462,interp,0.250
12,1,652,460,interp,0.250
13,1,652,458,interp,0.250
14,1,651,457,refined,0.517
15,1,649,456,interp,0.250
16,1,646,456,interp,0.250
17,1,644,455,refined,0.494
18,1,644,455,interp,0.250
19,1,643,455,refined,0.472
20,1,642,455,refined,0.464
21,1,642,454,interp,0.250
22,1,642,454,refined,0.447
23,1,642,454,interp,0.250
24,1,641,453,refined,0.449
25,1,642,453,refined,0.466
26,1,640,455,refined,0.448
27,1,639,457,refined,0.471
28,1,638,457,interp,0.250
29,1,638,458,interp,0.250
30,1,637,458,refined,0.451
31,1,636,458,refined,0.440
32,0,0,0,rejected_jump,0.000
33,0,0,0,rejected_static_lock,0.000
34,0,0,0,rejected_static_lock,0.000
35,0,0,0,rejected_static_lock,0.000
36,0,0,0,rejected_static_lock,0.000
37,0,0,0,rejected_static_lock,0.000
38,0,0,0,rejected_static_lock,0.000
39,0,0,0,rejected_static_lock,0.000
40,0,0,0,rejected_static_lock,0.000
41,0,0,0,rejected_static_lock,0.000
42,0,0,0,rejected_static_lock,0.000
43,1,635,456,refined,0.400
44,1,635,456,interp,0.250
45,1,635,455,refined,0.461
46,1,634,455,refined,0.400
47,1,638,457,refined,0.439
48,1,636,457,refined,0.431
49,1,633,455,refined,0.410
50,1,635,455,refined,0.400
51,1,636,454,refined,0.455
52,1,636,456,refined,0.408
53,1,636,456,interp,0.250
54,1,636,456,interp,0.250
55,1,636,456,refined,0.413
56,1,637,457,refined,0.401
57,1,639,456,refined,0.417
58,0,0,0,rejected_static_lock,0.000
59,0,0,0,rejected_static_lock,0.000
60,0,0,0,rejected_static_lock,0.000
61,0,0,0,rejected_static_lock,0.000
62,0,0,0,rejected_static_lock,0.000
63,0,0,0,rejected_static_lock,0.000
64,0,0,0,rejected_static_lock,0.000
65,0,0,0,rejected_static_lock,0.000
66,1,634,456,refined,0.425
67,1,633,454,refined,0.402
68,1,638,457,refined,0.412
69,1,638,457,interp,0.250
70,1,638,457,refined,0.412
71,1,638,458,interp,0.250
72,1,637,458,refined,0.436
73,1,638,458,interp,0.250
74,1,638,459,refined,0.405
75,1,637,454,refined,0.452
76,0,0,0,rejected_static_lock,0.000
77,0,0,0,rejected_static_lock,0.000
78,0,0,0,rejected_static_lock,0.000
79,0,0,0,rejected_static_lock,0.000
80,0,0,0,rejected_static_lock,0.000
81,0,0,0,rejected_static_lock,0.000
82,0,0,0,rejected_static_lock,0.000
83,0,0,0,rejected_static_lock,0.000
84,1,639,456,refined,0.496
85,1,640,457,refined,0.481
86,1,641,459,refined,0.494
87,1,642,458,interp,0.250
88,1,644,457,refined,0.543
89,1,644,457,refined,0.542
90,1,645,453,refined,0.615
91,1,648,453,refined,0.585
92,1,650,453,refined,0.553
93,1,652,446,refined,0.620
94,1,653,449,refined,0.512
95,1,658,431,interp,0.250
96,1,663,413,interp,0.250
97,1,668,395,refined,0.552
98,1,674,380,refined,0.622
