frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.532278,0.035521,0.035521,1.064556
1,0.033367,far,3.706513,0.247348,0.247348,7.413027
2,0.066733,near,0.446294,0.044674,0.044674,1.064556
2,0.066733,far,3.082501,0.308559,0.308559,7.413027
3,0.100100,near,0.600862,0.080195,0.080195,1.064565
3,0.100100,far,2.770495,0.369769,0.369769,7.413027
4,0.133467,near,0.693602,0.115716,0.115716,1.064565
4,0.133467,far,2.288765,0.381843,0.381843,7.413027
5,0.166834,near,0.578002,0.115716,0.115716,1.064565
5,0.166834,far,1.907304,0.381843,0.381843,7.413027
6,0.200200,near,0.578002,0.115716,0.115716,1.064565
6,0.200200,far,2.217794,0.444003,0.444003,7.413027
7,0.233567,near,0.400576,0.115716,0.115716,1.064565
7,0.233567,far,0.982289,0.444003,0.444003,7.413027
8,0.266934,near,0.354855,0.115716,0.115716,1.064565
8,0.266934,far,0.982289,0.505213,0.505213,7.413027
9,0.300300,near,0.354855,0.151237,0.151237,1.064565
9,0.300300,far,0.676543,0.505213,0.505213,7.413027
10,0.333667,near,0.177428,0.151237,0.151237,1.064565
10,0.333667,far,0.616235,0.505213,0.505213,7.413027
11,0.367034,near,0.177428,0.151237,0.151237,1.064565
11,0.367034,far,0.923225,0.566673,0.566673,7.413027
12,0.400400,near,0.354855,0.186758,0.186758,1.064565
12,0.400400,far,0.919725,0.628132,0.628132,7.413027
13,0.433767,near,0.354855,0.186758,0.186758,1.064565
13,0.433767,far,0.919725,0.628132,0.628132,7.413027
14,0.467134,near,0.532283,0.222279,0.222279,1.064565
14,0.467134,far,0.613979,0.628132,0.628132,7.413027
15,0.500501,near,0.354855,0.222279,0.222279,1.064565
15,0.500501,far,1.231009,0.751661,0.751661,7.413027
16,0.533867,near,0.354855,0.222279,0.222279,1.064565
16,0.533867,far,1.291563,0.763784,0.763784,7.413027
17,0.567234,near,0.354855,0.222279,0.222279,1.064565
17,0.567234,far,1.599805,0.886954,0.886954,7.413027
18,0.600601,near,0.177428,0.222279,0.222279,1.064565
18,0.600601,far,1.604542,0.949362,0.949362,7.413027
19,0.633967,near,0.177428,0.222279,0.222279,1.064565
19,0.633967,far,2.217264,1.072029,1.072029,7.413027
20,0.667334,near,0.000000,0.222279,0.222279,1.064565
