frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
0,0.000000,near,1,487.000,616.000,1.915508,10.219727,449.074,457.455,539.164,638.625,0.905608,detected
0,0.000000,far,2,662.000,460.000,3.330557,0.967791,614.083,340.000,673.898,475.858,0.847325,detected
1,0.033367,near,1,487.000,617.000,1.919287,10.258462,449.054,457.810,538.863,638.396,0.909759,detected
1,0.033367,far,2,662.000,460.000,3.330557,0.967791,612.860,340.000,672.669,475.756,0.833248,detected
2,0.066733,near,1,487.000,617.000,1.919287,10.258462,448.745,456.827,539.011,638.387,0.907507,detected
2,0.066733,far,2,662.000,460.000,3.330557,0.967791,612.977,340.000,672.684,475.509,0.852268,detected
3,0.100100,near,1,487.000,617.000,1.919287,10.258462,448.667,456.531,539.024,638.342,0.907755,detected
3,0.100100,far,2,662.000,460.000,3.330557,0.967791,611.439,340.000,671.234,475.331,0.830886,detected
4,0.133467,near,1,487.000,617.000,1.919287,10.258462,448.590,456.226,539.073,638.387,0.907437,detected
4,0.133467,far,2,662.000,460.000,3.330557,0.967791,611.696,340.000,671.661,475.605,0.829745,detected
5,0.166834,near,1,487.000,617.000,1.919287,10.258462,448.593,456.230,539.028,638.397,0.907704,detected
5,0.166834,far,2,662.000,460.000,3.330557,0.967791,612.425,340.000,672.457,475.825,0.815153,detected
6,0.200200,near,1,487.000,617.000,1.919287,10.258462,448.689,456.436,538.962,638.372,0.908487,detected
6,0.200200,far,2,663.000,460.000,3.342949,0.967761,610.410,340.000,670.935,476.272,0.776847,detected
7,0.233567,near,1,487.000,617.000,1.919287,10.258462,448.781,456.566,538.930,638.349,0.908940,detected
7,0.233567,far,2,662.000,460.000,3.330557,0.967791,609.993,340.000,670.609,476.044,0.795615,detected
8,0.266934,near,1,487.000,617.000,1.919287,10.258462,448.806,456.593,538.893,638.351,0.908402,detected
8,0.266934,far,2,661.000,461.000,3.320468,1.053696,610.991,340.000,671.684,476.383,0.848612,detected
9,0.300300,near,1,487.000,617.000,1.919287,10.258462,448.913,457.002,538.778,638.358,0.909063,detected
9,0.300300,far,2,661.000,461.000,3.320468,1.053696,611.780,340.000,672.395,476.613,0.858593,detected
10,0.333667,near,1,487.000,617.000,1.919287,10.258462,448.991,457.235,538.721,638.349,0.908903,detected
10,0.333667,far,2,661.000,460.000,3.318163,0.967821,611.695,340.000,672.163,476.590,0.836079,detected
11,0.367034,near,1,487.000,617.000,1.919287,10.258462,449.023,457.363,538.694,638.388,0.909133,detected
11,0.367034,far,2,661.000,460.000,3.318163,0.967821,611.475,340.000,671.854,476.596,0.846018,detected
12,0.400400,near,1,487.000,616.000,1.915508,10.219727,448.722,455.531,539.170,638.395,0.903520,detected
12,0.400400,far,2,661.000,460.000,3.318163,0.967821,611.846,340.000,672.049,476.518,0.838576,detected
13,0.433767,near,1,486.000,616.000,1.905821,10.219800,448.698,455.023,539.266,638.360,0.903300,detected
13,0.433767,far,2,661.000,460.000,3.318163,0.967821,612.021,340.000,671.697,475.706,0.842327,detected
14,0.467134,near,1,487.000,616.000,1.915508,10.219727,448.958,456.062,538.994,638.388,0.905189,detected
14,0.467134,far,2,661.000,459.000,3.315851,0.881636,612.462,340.000,671.814,475.485,0.823700,detected
15,0.500501,near,1,487.000,616.000,1.915508,10.219727,449.060,456.414,538.887,638.378,0.905257,detected
15,0.500501,far,2,662.000,459.000,3.328266,0.881607,612.595,340.000,671.750,475.481,0.812730,detected
16,0.533867,near,1,487.000,616.000,1.915508,10.219727,449.358,457.145,538.881,638.430,0.905001,detected
16,0.533867,far,2,662.000,459.000,3.328266,0.881607,612.895,340.000,671.775,475.463,0.820741,detected
17,0.567234,near,1,487.000,616.000,1.915508,10.219727,449.576,458.206,538.582,638.233,0.914546,detected
17,0.567234,far,2,661.000,458.000,3.313530,0.795138,614.733,340.000,672.938,475.468,0.815166,detected
18,0.600601,near,1,487.000,616.000,1.915508,10.219727,449.547,458.215,538.578,638.147,0.912841,detected
18,0.600601,far,2,661.000,458.000,3.313530,0.795138,615.589,340.000,673.137,475.408,0.799304,detected
19,0.633967,near,1,487.000,616.000,1.915508,10.219727,449.475,457.979,538.661,638.119,0.913588,detected
19,0.633967,far,2,661.000,457.000,3.311200,0.708325,615.804,340.000,672.730,475.193,0.795974,detected
20,0.667334,near,1,487.000,616.000,1.915508,10.219727,449.544,458.449,538.576,638.104,0.916080,detected
20,0.667334,far,2,661.000,456.000,3.308862,0.621196,616.333,340.000,672.649,475.067,0.776502,detected
21,0.700701,near,1,487.000,616.000,1.915508,10.219727,449.681,458.697,538.717,638.116,0.917561,detected
21,0.700701,far,2,661.000,456.000,3.308862,0.621196,617.918,340.000,673.702,475.541,0.524495,detected
22,0.734067,near,1,487.000,616.000,1.915508,10.219727,449.658,458.638,538.824,638.115,0.916574,detected
22,0.734067,far,2,661.000,455.000,3.306516,0.533748,617.815,340.000,673.186,475.584,0.836503,detected
23,0.767434,near,1,487.000,616.000,1.915508,10.219727,449.735,458.865,538.906,638.135,0.919298,detected
23,0.767434,far,2,661.000,456.000,3.308862,0.621196,618.371,340.000,673.394,475.899,0.842964,detected
24,0.800801,near,1,487.000,616.000,1.915508,10.219727,449.764,458.474,539.218,638.286,0.904024,detected
24,0.800801,far,2,661.000,457.000,3.311200,0.708325,617.269,340.000,672.515,476.723,0.779820,detected
25,0.834168,near,1,487.000,616.000,1.915508,10.219727,449.841,458.821,539.205,638.290,0.916052,detected
25,0.834168,far,2,660.000,457.000,3.298739,0.708353,617.635,340.000,672.757,476.836,0.871580,detected
26,0.867534,near,1,487.000,616.000,1.915508,10.219727,449.962,458.307,539.553,638.302,0.910604,detected
26,0.867534,far,2,661.000,457.000,3.311200,0.708325,618.375,340.000,673.442,477.262,0.821193,detected
27,0.900901,near,1,487.000,616.000,1.915508,10.219727,449.853,457.456,539.823,638.347,0.909388,detected
27,0.900901,far,2,661.000,458.000,3.313530,0.795138,618.709,340.000,673.824,477.585,0.790160,detected
28,0.934268,near,1,486.000,615.000,1.902017,10.180955,449.799,457.008,539.924,638.303,0.908165,detected
28,0.934268,far,2,661.000,458.000,3.313530,0.795138,606.437,340.000,664.704,477.444,0.680290,detected
29,0.967634,near,1,486.000,616.000,1.905821,10.219800,450.055,457.360,539.966,638.198,0.914891,detected
29,0.967634,far,2,661.000,458.000,3.313530,0.795138,612.362,340.000,670.820,477.458,0.800054,detected
30,1.001001,near,1,487.000,616.000,1.915508,10.219727,450.033,456.580,540.279,638.130,0.908253,detected
30,1.001001,far,2,661.000,458.000,3.313530,0.795138,617.397,340.000,675.353,476.923,0.813990,detected
31,1.034368,near,1,486.000,617.000,1.909613,10.258535,450.161,455.516,540.889,638.314,0.908653,detected
31,1.034368,far,2,661.000,459.000,3.315851,0.881636,620.512,340.013,677.931,476.742,0.861799,detected
32,1.067734,near,1,487.000,617.000,1.919287,10.258462,450.958,456.355,541.396,638.598,0.904661,detected
32,1.067734,far,2,661.000,461.000,3.320468,1.053696,622.611,340.275,679.479,477.058,0.803611,detected
33,1.101101,near,1,487.000,616.000,1.915508,10.219727,451.400,456.945,541.554,638.844,0.910514,detected
33,1.101101,far,2,661.000,461.000,3.320468,1.053696,621.035,340.104,678.148,476.967,0.848615,detected
34,1.134468,near,1,487.000,616.000,1.915508,10.219727,451.446,455.705,541.963,638.781,0.905449,detected
34,1.134468,far,2,661.000,461.000,3.320468,1.053696,623.924,340.256,680.789,476.870,0.856757,detected
35,1.167835,near,1,487.000,617.000,1.919287,10.258462,451.792,452.987,543.190,638.658,0.891815,detected
35,1.167835,far,2,660.000,461.000,3.308097,1.053727,626.800,340.095,684.141,477.125,0.878332,detected
36,1.201201,near,1,488.000,618.000,1.932715,10.297014,453.304,455.386,543.315,638.566,0.901152,detected
36,1.201201,far,2,660.000,460.000,3.305770,0.967852,627.958,340.033,685.920,477.032,0.893711,detected
37,1.234568,near,1,489.000,617.000,1.938634,10.258315,454.793,458.642,543.174,638.561,0.904023,detected
