Frame,Visibility,X,Y,Source,Confidence
0,0,0,0,rejected_static_motion,0.000
1,1,455,202,refined,0.401
2,1,455,202,refined,0.800
3,1,463,214,interp,0.250
4,1,470,227,interp,0.250
5,1,478,239,interp,0.250
6,1,485,252,interp,0.250
7,1,493,264,interp,0.250
8,1,500,277,interp,0.250
9,1,508,289,refined,0.487
10,1,500,287,interp,0.250
11,1,493,284,interp,0.250
12,1,485,282,interp,0.250
13,1,478,279,interp,0.250
14,1,470,277,refined,0.800
15,1,470,277,refined,0.799
16,1,474,275,refined,0.800
17,1,476,277,refined,0.800
18,1,478,275,refined,0.800
19,1,481,277,refined,0.792
20,1,483,277,refined,0.800
21,1,485,277,refined,0.784
22,1,487,277,refined,0.788
23,1,518,267,interp,0.250
24,1,550,257,interp,0.250
25,1,581,247,interp,0.250
26,1,612,237,interp,0.250
27,1,644,227,interp,0.250
28,1,675,217,refined,0.589
29,1,680,217,interp,0.250
30,1,684,217,refined,0.800
31,1,676,203,refined,0.800
32,1,675,190,refined,0.672
33,1,629,226,refined,0.800
34,1,610,252,refined,0.800
35,1,595,277,refined,0.720
36,1,687,286,refined,0.410
37,1,691,286,interp,0.250
38,1,695,285,refined,0.408
39,1,695,285,refined,0.406
40,1,599,276,refined,0.401
41,1,590,272,refined,0.572
42,1,595,266,refined,0.648
43,1,599,262,refined,0.748
44,1,604,258,refined,0.800
45,1,609,251,refined,0.800
46,1,613,245,refined,0.800
47,1,616,243,refined,0.800
48,1,620,243,refined,0.787
49,1,624,243,refined,0.800
50,1,626,247,refined,0.800
51,1,630,247,refined,0.800
52,1,631,249,refined,0.800
53,1,633,251,refined,0.800
54,1,635,253,refined,0.699
55,1,693,283,refined,0.400
56,1,699,286,refined,0.402
57,1,698,286,refined,0.400
58,1,698,285,refined,0.400
59,1,648,279,interp,0.250
60,1,598,273,refined,0.400
61,1,594,270,refined,0.406
62,1,590,268,refined,0.740
63,1,583,266,refined,0.766
64,1,579,262,refined,0.800
65,1,575,260,refined,0.800
66,1,568,258,refined,0.800
67,1,560,260,refined,0.800
68,1,555,264,refined,0.800
69,1,551,266,refined,0.800
70,1,547,268,refined,0.800
71,1,543,270,refined,0.800
72,1,540,273,refined,0.754
73,1,538,277,refined,0.642
74,1,616,281,interp,0.250
75,1,693,285,refined,0.405
76,1,693,285,refined,0.406
77,1,630,282,interp,0.250
78,1,567,278,interp,0.250
79,1,504,275,refined,0.800
80,1,483,219,refined,0.401
81,1,477,207,refined,0.414
82,1,474,203,refined,0.800
83,1,470,196,refined,0.800
84,1,466,190,refined,0.800
85,1,457,172,refined,0.800
86,1,450,164,refined,0.608
87,1,438,147,refined,0.800
88,1,432,147,interp,0.250
89,1,425,147,interp,0.250
90,1,419,147,interp,0.250
91,1,412,147,interp,0.250
92,1,406,147,interp,0.250
93,1,399,147,interp,0.250
94,1,393,147,refined,0.800
95,1,393,233,refined,0.404
96,1,391,242,refined,0.800
97,1,457,252,interp,0.250
98,1,523,262,refined,0.402
99,1,526,264,refined,0.629
100,1,528,266,refined,0.800
101,1,530,268,refined,0.795
102,1,538,273,refined,0.641
103,0,0,0,rejected_static_lock,0.000
104,0,0,0,rejected_static_lock,0.000
105,0,0,0,rejected_static_lock,0.000
106,0,0,0,rejected_static_lock,0.000
107,0,0,0,rejected_static_lock,0.000
108,0,0,0,rejected_static_lock,0.000
109,0,0,0,rejected_static_lock,0.000
110,0,0,0,rejected_static_lock,0.000
111,0,0,0,rejected_static_lock,0.000
112,0,0,0,rejected_static_lock,0.000
113,0,0,0,rejected_static_lock,0.000
114,0,0,0,rejected_static_lock,0.000
115,0,0,0,rejected_static_lock,0.000
116,0,0,0,rejected_static_lock,0.000
117,0,0,0,rejected_static_lock,0.000
118,0,0,0,rejected_static_lock,0.000
119,0,0,0,rejected_static_lock,0.000
120,0,0,0,rejected_static_lock,0.000
121,0,0,0,rejected_static_lock,0.000
122,0,0,0,rejected_static_lock,0.000
123,1,549,277,refined,0.766
124,1,683,284,refined,0.401
125,1,698,285,refined,0.401
126,1,565,280,refined,0.648
127,1,546,279,refined,0.606
128,1,546,279,refined,0.634
129,1,681,285,refined,0.400
130,1,697,285,refined,0.405
131,1,696,285,refined,0.401
132,1,694,285,refined,0.400
133,1,554,278,refined,0.758
134,1,546,277,interp,0.250
135,1,538,277,interp,0.250
136,1,529,276,interp,0.250
137,1,521,276,interp,0.250
138,1,513,275,refined,0.603
139,1,513,275,refined,0.787
140,1,513,275,refined,0.667
141,1,590,273,refined,0.400
142,1,599,266,refined,0.681
143,1,602,264,refined,0.800
144,1,633,232,refined,0.800
145,1,637,224,interp,0.250
146,1,642,215,interp,0.250
147,1,646,206,interp,0.250
148,1,650,198,refined,0.405
149,1,650,192,refined,0.800
150,1,646,171,refined,0.800
151,1,502,188,interp,0.250
152,1,357,204,interp,0.250
153,1,213,221,refined,0.578
154,1,213,221,refined,0.619
155,0,0,0,missing,0.000
156,0,0,0,missing,0.000
157,0,0,0,missing,0.000
158,0,0,0,missing,0.000
159,0,0,0,missing,0.000
160,0,0,0,missing,0.000
161,0,0,0,missing,0.000
162,0,0,0,missing,0.000
163,0,0,0,missing,0.000
164,0,0,0,missing,0.000
165,0,0,0,missing,0.000
166,0,0,0,missing,0.000
167,0,0,0,missing,0.000
168,0,0,0,missing,0.000
169,0,0,0,missing,0.000
170,0,0,0,missing,0.000
171,0,0,0,missing,0.000
172,0,0,0,missing,0.000
173,0,0,0,missing,0.000
174,0,0,0,missing,0.000
175,0,0,0,missing,0.000
176,0,0,0,missing,0.000
177,0,0,0,rejected_roi,0.000
178,0,0,0,rejected_roi,0.000
179,0,0,0,rejected_jump,0.000
180,0,0,0,rejected_roi,0.000
181,0,0,0,rejected_roi,0.000
182,0,0,0,rejected_roi,0.000
183,1,448,255,refined,0.759
184,1,453,246,refined,0.800
185,1,456,234,interp,0.250
186,1,458,221,interp,0.250
187,1,460,208,interp,0.250
188,1,463,196,refined,0.411
189,1,459,194,refined,0.800
190,1,451,194,refined,0.800
191,1,440,206,refined,0.800
192,0,0,0,rejected_static_lock,0.000
193,0,0,0,rejected_static_lock,0.000
194,0,0,0,rejected_static_lock,0.000
195,0,0,0,rejected_static_lock,0.000
196,0,0,0,rejected_static_lock,0.000
197,0,0,0,rejected_static_lock,0.000
198,0,0,0,rejected_static_lock,0.000
199,0,0,0,rejected_static_lock,0.000
200,0,0,0,rejected_static_lock,0.000
201,0,0,0,rejected_static_lock,0.000
202,0,0,0,rejected_static_lock,0.000
203,0,0,0,rejected_static_lock,0.000
204,0,0,0,rejected_static_lock,0.000
205,0,0,0,rejected_static_lock,0.000
206,0,0,0,rejected_static_lock,0.000
207,0,0,0,rejected_static_lock,0.000
208,0,0,0,rejected_static_lock,0.000
209,0,0,0,rejected_static_lock,0.000
210,0,0,0,rejected_static_lock,0.000
211,0,0,0,rejected_static_lock,0.000
212,0,0,0,rejected_static_lock,0.000
213,0,0,0,rejected_static_lock,0.000
214,0,0,0,rejected_static_lock,0.000
215,0,0,0,rejected_static_lock,0.000
216,0,0,0,rejected_static_lock,0.000
217,0,0,0,rejected_static_lock,0.000
218,0,0,0,rejected_static_lock,0.000
219,0,0,0,rejected_static_lock,0.000
220,1,716,281,refined,0.402
221,1,720,279,refined,0.401
222,1,720,279,refined,0.401
223,1,627,271,interp,0.250
224,1,535,263,interp,0.250
225,1,442,255,refined,0.747
226,1,386,212,refined,0.800
227,1,380,211,refined,0.720
228,1,389,265,refined,0.800
229,1,391,272,refined,0.800
230,1,341,271,refined,0.445
231,1,335,271,refined,0.800
232,1,334,272,refined,0.800
233,1,334,275,refined,0.513
234,1,333,275,interp,0.250
235,1,331,275,interp,0.250
236,1,330,275,interp,0.250
237,1,329,275,interp,0.250
238,1,327,275,interp,0.250
239,1,326,275,refined,0.403
240,1,328,272,refined,0.403
241,1,331,270,refined,0.461
242,1,331,268,refined,0.800
243,1,337,262,refined,0.800
244,1,343,258,refined,0.800
245,1,352,251,refined,0.800
246,1,354,251,refined,0.800
247,1,358,251,refined,0.800
248,1,360,251,refined,0.800
249,1,363,253,refined,0.800
250,1,365,256,refined,0.800
251,1,373,264,refined,0.800
252,1,376,272,refined,0.643
253,1,378,272,refined,0.800
254,1,376,273,refined,0.679
255,1,380,274,interp,0.250
256,1,385,274,interp,0.250
257,1,389,275,interp,0.250
258,1,393,275,interp,0.250
259,1,397,276,interp,0.250
260,1,402,276,interp,0.250
261,1,406,277,refined,0.405
262,1,406,275,refined,0.628
263,1,408,273,refined,0.726
264,1,408,270,refined,0.800
265,1,410,270,refined,0.800
266,1,412,266,refined,0.775
267,1,414,262,refined,0.744
268,1,418,264,refined,0.641
269,1,420,266,refined,0.691
270,1,420,268,refined,0.800
271,1,421,270,refined,0.800
272,1,423,272,refined,0.800
273,1,425,275,refined,0.800
274,1,425,277,refined,0.607
275,1,436,277,interp,0.250
276,1,447,278,interp,0.250
277,1,458,278,interp,0.250
278,1,469,278,interp,0.250
279,1,480,279,interp,0.250
280,1,491,279,refined,0.400
281,1,495,275,refined,0.404
282,1,498,273,refined,0.499
283,1,502,272,refined,0.737
284,1,510,270,refined,0.772
285,1,517,266,refined,0.790
286,1,521,266,refined,0.800
287,1,528,264,refined,0.800
288,1,540,266,refined,0.800
289,1,545,268,refined,0.800
290,1,549,272,refined,0.800
291,1,553,273,refined,0.800
292,1,556,275,refined,0.662
293,1,562,279,refined,0.612
294,0,0,0,missing,0.000
295,0,0,0,missing,0.000
296,0,0,0,missing,0.000
297,0,0,0,missing,0.000
298,0,0,0,missing,0.000
299,0,0,0,missing,0.000
300,0,0,0,missing,0.000
301,0,0,0,missing,0.000
302,0,0,0,missing,0.000
303,0,0,0,missing,0.000
304,0,0,0,missing,0.000
305,1,504,277,refined,0.557
306,1,504,277,interp,0.250
307,1,504,277,refined,0.800
308,1,506,275,refined,0.726
309,1,506,275,refined,0.765
310,1,506,275,refined,0.637
311,1,508,275,refined,0.592
312,1,510,273,refined,0.696
313,1,510,274,interp,0.250
314,1,511,274,interp,0.250
315,1,511,275,refined,0.725
316,1,513,275,refined,0.738
317,1,513,275,refined,0.800
318,1,515,275,refined,0.767
319,1,508,272,interp,0.250
320,1,500,269,interp,0.250
321,1,492,266,interp,0.250
322,1,485,264,interp,0.250
323,1,478,261,interp,0.250
324,1,470,258,refined,0.800
325,1,470,260,refined,0.800
326,1,440,246,refined,0.800
327,1,437,246,refined,0.800
328,1,437,247,refined,0.800
329,1,475,253,interp,0.250
330,1,513,260,interp,0.250
331,1,551,266,refined,0.656
332,1,551,266,refined,0.787
333,1,457,268,refined,0.800
334,0,0,0,rejected_static_lock,0.000
335,0,0,0,rejected_static_lock,0.000
336,0,0,0,rejected_static_lock,0.000
337,0,0,0,rejected_static_lock,0.000
338,0,0,0,rejected_static_lock,0.000
339,0,0,0,rejected_static_lock,0.000
340,0,0,0,rejected_static_lock,0.000
341,0,0,0,rejected_static_lock,0.000
342,0,0,0,rejected_static_lock,0.000
343,0,0,0,rejected_static_lock,0.000
344,0,0,0,rejected_static_lock,0.000
345,0,0,0,rejected_static_lock,0.000
346,0,0,0,rejected_static_lock,0.000
347,0,0,0,rejected_static_lock,0.000
348,0,0,0,rejected_static_lock,0.000
349,0,0,0,rejected_static_lock,0.000
350,0,0,0,rejected_static_lock,0.000
351,0,0,0,rejected_static_lock,0.000
352,0,0,0,rejected_static_lock,0.000
353,0,0,0,rejected_static_lock,0.000
354,0,0,0,rejected_static_lock,0.000
355,0,0,0,rejected_static_lock,0.000
356,0,0,0,rejected_static_lock,0.000
357,0,0,0,rejected_static_lock,0.000
358,0,0,0,rejected_static_lock,0.000
359,0,0,0,rejected_static_lock,0.000
360,0,0,0,rejected_static_lock,0.000
361,0,0,0,rejected_static_lock,0.000
362,0,0,0,rejected_static_lock,0.000
363,0,0,0,rejected_static_lock,0.000
364,0,0,0,rejected_static_lock,0.000
365,0,0,0,rejected_static_lock,0.000
366,0,0,0,rejected_static_lock,0.000
367,0,0,0,rejected_static_lock,0.000
368,0,0,0,rejected_static_lock,0.000
369,0,0,0,rejected_static_lock,0.000
370,0,0,0,rejected_static_lock,0.000
371,0,0,0,rejected_static_lock,0.000
372,0,0,0,rejected_static_lock,0.000
373,0,0,0,rejected_static_lock,0.000
374,0,0,0,rejected_static_lock,0.000
375,0,0,0,rejected_static_lock,0.000
376,0,0,0,rejected_static_lock,0.000
377,0,0,0,rejected_static_lock,0.000
378,0,0,0,rejected_static_lock,0.000
379,0,0,0,rejected_static_lock,0.000
380,0,0,0,rejected_static_lock,0.000
381,0,0,0,rejected_static_lock,0.000
382,0,0,0,rejected_static_lock,0.000
383,0,0,0,rejected_static_lock,0.000
384,0,0,0,rejected_static_lock,0.000
385,0,0,0,rejected_static_lock,0.000
386,0,0,0,rejected_static_lock,0.000
387,1,525,168,refined,0.436
388,1,523,166,refined,0.680
389,1,519,160,refined,0.800
390,1,567,190,interp,0.250
391,1,614,220,interp,0.250
392,1,662,251,interp,0.250
393,1,710,281,refined,0.400
394,1,710,281,interp,0.250
395,1,710,281,refined,0.400
396,1,710,281,refined,0.400
397,1,710,281,refined,0.400
398,1,710,281,refined,0.402
399,1,710,281,refined,0.401
400,1,710,281,refined,0.401
401,1,663,276,interp,0.250
402,1,616,272,interp,0.250
403,1,568,267,interp,0.250
404,1,521,263,interp,0.250
405,1,474,258,refined,0.730
406,1,476,256,refined,0.800
407,1,478,260,refined,0.800
408,1,480,260,refined,0.800
409,1,481,260,refined,0.646
410,1,447,246,refined,0.800
411,1,446,241,interp,0.250
412,1,444,236,refined,0.768
413,1,396,264,refined,0.800
414,1,385,274,refined,0.800
415,0,0,0,rejected_static_lock,0.000
416,0,0,0,rejected_static_lock,0.000
417,0,0,0,rejected_static_lock,0.000
418,0,0,0,rejected_static_lock,0.000
419,0,0,0,rejected_static_lock,0.000
420,0,0,0,rejected_static_lock,0.000
421,0,0,0,rejected_static_lock,0.000
422,0,0,0,rejected_static_lock,0.000
423,0,0,0,rejected_static_lock,0.000
424,0,0,0,rejected_static_lock,0.000
425,1,343,268,refined,0.800
426,1,345,266,refined,0.800
427,1,467,271,interp,0.250
428,1,588,276,interp,0.250
429,1,710,281,refined,0.405
430,1,594,277,interp,0.250
431,1,477,272,interp,0.250
432,1,361,268,refined,0.685
433,1,363,268,refined,0.800
434,1,365,270,refined,0.800
435,0,0,0,rejected_static_lock,0.000
436,0,0,0,rejected_static_lock,0.000
437,0,0,0,rejected_static_lock,0.000
438,0,0,0,rejected_static_lock,0.000
439,0,0,0,rejected_static_lock,0.000
440,0,0,0,rejected_static_lock,0.000
441,0,0,0,rejected_static_lock,0.000
442,0,0,0,rejected_static_lock,0.000
443,0,0,0,rejected_static_lock,0.000
444,0,0,0,rejected_static_lock,0.000
445,0,0,0,rejected_static_lock,0.000
446,0,0,0,rejected_static_lock,0.000
447,0,0,0,rejected_static_lock,0.000
448,0,0,0,rejected_static_lock,0.000
449,0,0,0,rejected_static_lock,0.000
450,0,0,0,rejected_static_lock,0.000
451,0,0,0,rejected_static_lock,0.000
452,1,815,251,refined,0.402
453,1,801,244,refined,0.408
454,1,798,241,refined,0.646
455,1,716,276,refined,0.400
456,1,580,264,interp,0.250
457,1,444,253,refined,0.400
458,1,440,253,refined,0.402
459,1,400,253,refined,0.800
460,1,401,242,refined,0.800
461,1,402,238,refined,0.800
462,1,397,234,refined,0.750
463,1,384,220,interp,0.250
464,1,371,207,refined,0.451
465,0,0,0,rejected_roi,0.000
466,0,0,0,rejected_roi,0.000
467,0,0,0,rejected_roi,0.000
468,0,0,0,rejected_static_lock,0.000
469,0,0,0,rejected_static_lock,0.000
470,0,0,0,rejected_static_lock,0.000
471,0,0,0,rejected_static_lock,0.000
472,0,0,0,rejected_static_lock,0.000
473,0,0,0,rejected_static_lock,0.000
474,0,0,0,rejected_static_lock,0.000
475,0,0,0,rejected_static_lock,0.000
476,0,0,0,rejected_jump,0.000
477,1,363,272,refined,0.429
478,1,360,266,refined,0.532
479,1,358,262,refined,0.685
480,1,354,258,refined,0.785
481,1,348,253,refined,0.800
482,1,346,249,refined,0.800
483,1,343,245,refined,0.800
484,1,339,245,refined,0.798
485,1,335,247,refined,0.800
486,1,331,251,refined,0.800
487,1,328,256,refined,0.800
488,1,322,260,refined,0.800
489,1,320,264,refined,0.800
490,1,318,266,refined,0.800
491,1,316,270,refined,0.619
492,1,316,275,refined,0.410
493,1,318,275,refined,0.401
494,1,318,272,refined,0.403
495,1,320,270,refined,0.601
496,1,320,268,refined,0.800
497,1,324,266,refined,0.800
498,1,328,266,refined,0.800
499,1,331,266,refined,0.771
500,1,333,268,refined,0.800
501,1,337,270,refined,0.800
502,1,339,270,refined,0.800
503,1,341,273,refined,0.800
504,1,343,275,refined,0.747
505,1,343,277,refined,0.635
506,0,0,0,rejected_static_lock,0.000
507,0,0,0,rejected_static_lock,0.000
508,0,0,0,rejected_static_lock,0.000
509,0,0,0,rejected_static_lock,0.000
510,0,0,0,rejected_static_lock,0.000
511,0,0,0,rejected_static_lock,0.000
512,0,0,0,rejected_static_lock,0.000
513,0,0,0,rejected_static_lock,0.000
514,0,0,0,rejected_static_lock,0.000
515,0,0,0,rejected_static_lock,0.000
516,1,354,275,refined,0.404
517,1,352,273,refined,0.666
518,1,354,272,refined,0.800
519,1,354,272,refined,0.800
520,1,352,270,refined,0.769
521,1,350,270,refined,0.729
522,1,348,270,refined,0.585
523,1,348,272,refined,0.644
524,1,348,272,refined,0.800
525,1,348,273,refined,0.800
526,1,348,275,refined,0.800
527,1,348,275,refined,0.672
528,1,419,279,refined,0.800
529,1,429,279,refined,0.800
530,1,433,279,refined,0.800
531,1,434,279,refined,0.800
532,0,0,0,rejected_jump,0.000
