frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.047619,near,0.000000,0.000000,0.000000,0.000000
1,0.047619,far,0.000000,0.000000,0.000000,0.000000
2,0.095238,near,0.000000,0.000000,0.000000,0.000000
2,0.095238,far,2.032136,0.290305,0.290305,6.096409
3,0.142857,near,0.000000,0.000000,0.000000,0.000000
3,0.142857,far,2.282786,0.434816,0.434816,6.096409
4,0.190476,near,0.000000,0.000000,0.000000,0.000000
4,0.190476,far,2.209535,0.526080,0.526080,6.096409
5,0.238095,near,0.000000,0.000000,0.000000,0.000000
5,0.238095,far,1.886470,0.538992,0.538992,6.096409
6,0.285714,near,0.000000,0.000000,0.000000,0.000000
6,0.285714,far,2.875266,0.821504,0.821504,6.096409
7,0.333333,near,0.000000,0.000000,0.000000,0.000000
7,0.333333,far,2.919198,0.834056,0.834056,6.096409
8,0.380952,near,0.000000,0.000000,0.000000,0.000000
8,0.380952,far,2.161853,0.907977,0.907977,6.096409
9,0.428571,near,0.000000,0.000000,0.000000,0.000000
9,0.428571,far,2.169690,1.054728,1.054728,6.096409
10,0.476190,near,0.000000,0.000000,0.000000,0.000000
10,0.476190,far,2.622796,1.275450,1.275450,6.096409
11,0.523810,near,0.000000,0.000000,0.000000,0.000000
11,0.523810,far,3.270544,1.473433,1.473433,6.096409
12,0.571429,near,0.000000,0.000000,0.000000,0.000000
12,0.571429,far,3.680241,1.873002,1.873002,8.390952
13,0.619048,near,0.000000,0.000000,0.000000,0.000000
13,0.619048,far,3.636309,1.873002,1.873002,8.390952
14,0.666667,near,0.000000,0.000000,0.000000,0.000000
14,0.666667,far,3.706328,1.966928,1.966928,8.390952
15,0.714286,near,0.000000,0.000000,0.000000,0.000000
15,0.714286,far,3.890682,2.166351,2.166351,8.390952
16,0.761905,near,0.000000,0.000000,0.000000,0.000000
16,0.761905,far,3.118153,2.166351,2.166351,8.390952
17,0.809524,near,0.000000,0.000000,0.000000,0.000000
17,0.809524,far,3.661949,2.519704,2.519704,8.390952
18,0.857143,near,0.000000,0.000000,0.000000,0.000000
18,0.857143,far,3.551048,2.887587,2.887587,8.390952
19,0.904762,near,0.000000,0.000000,0.000000,0.000000
19,0.904762,far,4.280784,3.096083,3.096083,8.390952
20,0.952381,near,0.000000,0.000000,0.000000,0.000000
