frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
0,0.000000,near,,,,,,,,,,0.000000,missing
0,0.000000,far,1,457.000,410.000,2.634242,4.188033,422.453,298.755,493.623,424.721,0.864145,detected
1,0.047619,near,,,,,,,,,,0.000000,missing
1,0.047619,far,1,457.000,410.000,2.634242,4.188033,422.341,298.830,493.481,424.754,0.865432,detected
2,0.095238,near,,,,,,,,,,0.000000,missing
2,0.095238,far,1,460.000,414.000,2.682100,3.801483,425.045,301.251,494.860,424.603,0.859894,detected
3,0.142857,near,,,,,,,,,,0.000000,missing
3,0.142857,far,1,458.000,412.000,2.652106,3.992324,430.881,301.676,500.546,423.967,0.872245,detected
4,0.190476,near,,,,,,,,,,0.000000,missing
4,0.190476,far,1,454.000,411.000,2.598081,4.091624,432.883,295.188,506.861,424.352,0.883362,detected
5,0.238095,near,,,,,,,,,,0.000000,missing
5,0.238095,far,1,455.000,411.000,2.610985,4.091012,435.321,292.311,511.181,424.225,0.886231,detected
6,0.285714,near,,,,,,,,,,0.000000,missing
6,0.285714,far,1,456.000,415.000,2.634077,3.710896,436.964,290.575,514.516,424.769,0.897857,detected
7,0.333333,near,,,,,,,,,,0.000000,missing
7,0.333333,far,1,457.000,415.000,2.646622,3.710326,437.633,290.777,515.662,425.290,0.907272,detected
8,0.380952,near,,,,,,,,,,0.000000,missing
8,0.380952,far,1,459.000,416.000,2.673910,3.617581,437.962,290.485,515.943,424.592,0.901722,detected
9,0.428571,near,,,,,,,,,,0.000000,missing
9,0.428571,far,1,464.000,414.000,2.732591,3.799165,437.308,288.762,517.029,426.175,0.869319,detected
10,0.476190,near,,,,,,,,,,0.000000,missing
10,0.476190,far,1,470.000,417.000,2.812060,3.521173,435.812,286.144,520.197,433.050,0.864157,detected
11,0.523810,near,,,,,,,,,,0.000000,missing
11,0.523810,far,1,472.000,420.000,2.839901,3.256552,439.398,285.734,525.659,438.702,0.822994,detected
12,0.571429,near,,,,,,,,,,0.000000,missing
12,0.571429,far,1,484.000,426.000,2.985384,2.754160,442.569,287.632,529.049,442.697,0.853446,detected
13,0.619048,near,,,,,,,,,,0.000000,missing
